policy,seed,decile,p95
SafeTail-2.0 (shipped),-1,1,109.08482450000002
SafeTail-2.0 (shipped),-1,2,96.59814265000013
SafeTail-2.0 (shipped),-1,3,90.4637711
SafeTail-2.0 (shipped),-1,4,68.47509939999993
SafeTail-2.0 (shipped),-1,5,63.8974391
SafeTail-2.0 (shipped),-1,6,61.769208250000005
SafeTail-2.0 (shipped),-1,7,62.35835099999991
SafeTail-2.0 (shipped),-1,8,64.40046155000002
SafeTail-2.0 (shipped),-1,9,62.54993910000002
SafeTail-2.0 (shipped),-1,10,63.898165799999994
SafeTail-1.0,0,1,104.04005585
SafeTail-1.0,0,2,97.54322870000001
SafeTail-1.0,0,3,92.4747758
SafeTail-1.0,0,4,85.7089047999999
SafeTail-1.0,0,5,86.45809390000005
SafeTail-1.0,0,6,78.80502000000001
SafeTail-1.0,0,7,81.2554116
SafeTail-1.0,0,8,80.64252
SafeTail-1.0,0,9,87.8683762
SafeTail-1.0,0,10,86.45571859999997
SafeTail-1.0,1,1,101.35337620000001
SafeTail-1.0,1,2,109.10543195000001
SafeTail-1.0,1,3,104.17004815000003
SafeTail-1.0,1,4,100.70974059999996
SafeTail-1.0,1,5,88.25022420000003
SafeTail-1.0,1,6,89.0527242
SafeTail-1.0,1,7,92.0473721999999
SafeTail-1.0,1,8,83.31057975000003
SafeTail-1.0,1,9,94.9389416
SafeTail-1.0,1,10,96.77002
SafeTail-1.0,2,1,104.62086795
SafeTail-1.0,2,2,105.03770600000001
SafeTail-1.0,2,3,103.82119000000002
SafeTail-1.0,2,4,87.684089
SafeTail-1.0,2,5,76.39451385000004
SafeTail-1.0,2,6,82.27332020000001
SafeTail-1.0,2,7,75.51579459999978
SafeTail-1.0,2,8,73.57824305000001
SafeTail-1.0,2,9,83.4579097
SafeTail-1.0,2,10,84.22362559999999
Oracle,0,1,49.3725331
Oracle,0,2,49.478351
Oracle,0,3,49.450851
Oracle,0,4,49.606522999999996
Oracle,0,5,49.550851
Oracle,0,6,49.3474391
Oracle,0,7,49.39835099999999
Oracle,0,8,49.828351
Oracle,0,9,49.478351
Oracle,0,10,49.41111099999999
Oracle,1,1,48.98975355
Oracle,1,2,49.4725331
Oracle,1,3,49.923351000000004
Oracle,1,4,49.64835099999999
Oracle,1,5,49.7241809
Oracle,1,6,49.200851
Oracle,1,7,49.128351
Oracle,1,8,49.5960909
Oracle,1,9,49.274180900000005
Oracle,1,10,49.64835099999999
Oracle,2,1,49.328351
Oracle,2,2,49.2466809
Oracle,2,3,49.800851
Oracle,2,4,49.678351
Oracle,2,5,49.6225331
Oracle,2,6,49.8403939
Oracle,2,7,49.5720042
Oracle,2,8,49.837287450000005
Oracle,2,9,49.672533099999995
Oracle,2,10,49.598350999999994
SafeTail-2.0 (rerun),0,1,116.36415640000004
SafeTail-2.0 (rerun),0,2,133.40730625
SafeTail-2.0 (rerun),0,3,141.79807875
SafeTail-2.0 (rerun),0,4,150.83853259999998
SafeTail-2.0 (rerun),0,5,158.64383015
SafeTail-2.0 (rerun),0,6,154.71780435000002
SafeTail-2.0 (rerun),0,7,157.86776579999994
SafeTail-2.0 (rerun),0,8,155.92229290000003
SafeTail-2.0 (rerun),0,9,157.74501165
SafeTail-2.0 (rerun),0,10,159.724372
SafeTail-2.0 (rerun),1,1,102.73802070000006
SafeTail-2.0 (rerun),1,2,96.11201385000001
SafeTail-2.0 (rerun),1,3,89.79039405000006
SafeTail-2.0 (rerun),1,4,73.25699179999994
SafeTail-2.0 (rerun),1,5,54.3352122
SafeTail-2.0 (rerun),1,6,51.94585100000001
SafeTail-2.0 (rerun),1,7,51.901540999999995
SafeTail-2.0 (rerun),1,8,52.478351
SafeTail-2.0 (rerun),1,9,52.200851
SafeTail-2.0 (rerun),1,10,51.3738018
SafeTail-2.0 (rerun),2,1,104.35219740000001
SafeTail-2.0 (rerun),2,2,95.48359325000004
SafeTail-2.0 (rerun),2,3,91.92927000000002
SafeTail-2.0 (rerun),2,4,77.09355039999998
SafeTail-2.0 (rerun),2,5,51.750851000000004
SafeTail-2.0 (rerun),2,6,50.628351
SafeTail-2.0 (rerun),2,7,50.29835099999999
SafeTail-2.0 (rerun),2,8,50.278351
SafeTail-2.0 (rerun),2,9,51.149749850000006
SafeTail-2.0 (rerun),2,10,67.23996499999988
SafeTail-1.0 (slowpath s0),0,1,102.13943975000002
SafeTail-1.0 (slowpath s0),0,2,95.16460205000001
SafeTail-1.0 (slowpath s0),0,3,95.77735770000001
SafeTail-1.0 (slowpath s0),0,4,89.47632599999991
SafeTail-1.0 (slowpath s0),0,5,79.11235770000006
SafeTail-1.0 (slowpath s0),0,6,62.555237250000005
SafeTail-1.0 (slowpath s0),0,7,67.06835099999998
SafeTail-1.0 (slowpath s0),0,8,73.86876895
SafeTail-1.0 (slowpath s0),0,9,66.05252000000003
SafeTail-1.0 (slowpath s0),0,10,82.24154099999991
