policy,budget,seed,p50,p90,p95,p99
SafeTail-1.0,1x,0,42.270769,64.47050360000006,85.57177,111.12532600000003
SafeTail-1.0,1x,1,42.02002,71.79002000000007,92.14248330000004,120.31514900000003
SafeTail-1.0,1x,2,41.736326,62.681770000000036,81.236326,106.16595518000001
SafeTail-1.0,3x,0,37.236326,63.70759240000001,84.35369,113.528351
SafeTail-1.0,3x,1,36.57002,61.7204694,84.20908439999998,119.32377000000004
SafeTail-1.0,3x,2,35.57002,59.728351,78.95495639999994,114.36449128000001
SafeTail-2.0 (updated),1x,0,90.912824,143.974104,158.06857300000001,181.07723010000004
SafeTail-2.0 (updated),1x,1,30.82002,48.81213980000001,51.8312736,89.10058040000014
SafeTail-2.0 (updated),1x,2,30.72002,48.49355440000001,51.6859527,113.63393580000003
SafeTail-2.0 (updated),3x,0,95.241765,145.2598456,159.22507720000002,180.91896544
SafeTail-2.0 (updated),3x,1,30.52002,48.74355440000001,50.278351,55.46635100000001
SafeTail-2.0 (updated),3x,2,30.42002,48.078351,49.728351,52.678351
