policy,metric,n,p50,p90,p95,p99,mean
SafeTail-2.0 (het),total_latency,14723,39.882709,59.878351,75.66033739999997,115.63972692,44.43716234592135
MinLoad-1,total_latency,14723,52.078351,121.4109578000001,137.8796992,164.81890024000003,65.76469581559465
MinLoad-2,total_latency,14723,42.085393,81.978351,99.63039299999997,127.31890024000002,47.08073836439584
MinLoad-3,total_latency,14723,31.877001,49.928351,54.288212,81.67249042000002,37.086805617197584
MinProp-1,total_latency,14723,30.329849,47.976235400000014,50.80721079999999,66.47526946,35.597045651973104
MinProp-2,total_latency,14723,29.929849,46.628351,49.078351,53.367351000000035,34.551496415812
MinProp-3,total_latency,14723,29.879849,46.678351,49.177293199999994,56.307351120000064,34.766543181348915
Rand-1,total_latency,14723,64.778351,125.8295494,140.5839306,165.37951944,73.16043492392855
Rand-2,total_latency,14723,44.570769,89.126748,103.88686029999994,125.27668296,50.519103888541736
Rand-3,total_latency,14723,36.077001,57.633984600000005,72.36372869999998,102.98871526,40.87609067058344
Oracle,total_latency,14723,30.443138,45.40922340000001,46.55369,50.145417120000026,34.31153038191945
