episode,step,reward
0,1,0.486746
0,2,0.520515
0,3,0.468327
0,4,0.432883
0,5,0.442959
0,6,0.463289
0,7,0.521225
0,8,0.502830
0,9,0.428745
0,10,0.463013
0,11,0.478981
0,12,0.443948
0,13,0.000000
0,14,0.499267
0,15,0.475784
1,1,0.443065
1,2,0.547988
1,3,0.458896
1,4,0.511888
1,5,0.493637
1,6,0.286981
1,7,0.411744
1,8,0.451512
1,9,0.443678
1,10,0.213177
1,11,0.466270
1,12,0.315997
1,13,0.503279
1,14,0.480839
1,15,0.491152
2,1,0.478611
2,2,0.459911
2,3,0.311439
2,4,0.474737
2,5,0.514986
2,6,0.492912
2,7,0.513014
2,8,0.518955
2,9,0.492014
2,10,0.457129
2,11,0.501586
2,12,0.511976
2,13,0.574110
2,14,0.531572
2,15,0.544584
3,1,0.449317
3,2,0.420338
3,3,0.429708
3,4,0.453644
3,5,0.485997
3,6,0.451758
3,7,0.477723
3,8,0.574110
3,9,0.496860
3,10,0.543460
3,11,0.529111
3,12,0.523109
3,13,0.458126
3,14,0.502835
3,15,0.508885
4,1,0.478606
4,2,0.336117
4,3,0.473095
4,4,0.457899
4,5,0.453575
4,6,0.452625
4,7,0.483527
4,8,0.493009
4,9,0.523751
4,10,0.512362
4,11,0.459361
4,12,0.469154
4,13,0.533703
4,14,0.510940
4,15,0.502924
5,1,0.510564
5,2,0.564999
5,3,0.459012
5,4,0.449870
5,5,0.440246
5,6,0.455097
5,7,0.434848
5,8,0.468333
5,9,0.462537
5,10,0.497013
5,11,0.454104
5,12,0.533129
5,13,0.504218
5,14,0.527957
5,15,0.539769
6,1,0.513694
6,2,0.558729
6,3,0.515801
6,4,0.488479
6,5,0.530389
6,6,0.495208
6,7,0.522860
6,8,0.539828
6,9,0.456865
6,10,0.521909
6,11,0.471962
6,12,0.441489
6,13,0.493825
6,14,0.492503
6,15,0.534661
7,1,0.470761
7,2,0.454984
7,3,0.499267
7,4,0.437131
7,5,0.515242
7,6,0.449476
7,7,0.413629
7,8,0.438821
7,9,0.490809
7,10,0.436104
7,11,0.307931
7,12,0.470068
7,13,0.525622
7,14,0.480839
7,15,0.521767
8,1,0.452414
8,2,0.504352
8,3,0.562031
8,4,0.438115
8,5,0.442108
8,6,0.472664
8,7,0.468795
8,8,0.455829
8,9,0.452939
8,10,0.497013
8,11,0.538354
8,12,0.513271
8,13,0.522587
8,14,0.576623
8,15,0.467940
9,1,0.489181
9,2,0.484219
9,3,0.486922
9,4,0.510590
9,5,0.493545
9,6,0.465129
9,7,0.493959
9,8,0.455176
9,9,0.474225
9,10,0.547988
9,11,0.490988
9,12,0.450618
9,13,0.482885
9,14,0.497804
9,15,0.507582
10,1,0.469548
10,2,0.425335
10,3,0.479149
10,4,0.520739
10,5,0.515493
10,6,0.574110
10,7,0.580866
10,8,0.513335
10,9,0.522257
10,10,0.305600
10,11,0.480329
10,12,0.521591
10,13,0.519325
10,14,0.488232
10,15,0.474318
11,1,0.492297
11,2,0.532282
11,3,0.537531
11,4,0.482278
11,5,0.475436
11,6,0.505068
11,7,0.469661
11,8,0.454561
11,9,0.479242
11,10,0.498171
11,11,0.476563
11,12,0.534492
11,13,0.532417
11,14,0.536395
11,15,0.463202
12,1,0.515290
12,2,0.537086
12,3,0.504531
12,4,0.529819
12,5,0.542410
12,6,0.535355
12,7,0.470533
12,8,0.462521
12,9,0.475378
12,10,0.467425
12,11,0.465754
12,12,0.496471
12,13,0.493255
12,14,0.484081
12,15,0.434589
13,1,0.531294
13,2,0.380913
13,3,0.521767
13,4,0.498995
13,5,0.535004
13,6,0.527255
13,7,0.480851
13,8,0.561276
13,9,0.426354
13,10,0.483348
13,11,0.439033
13,12,0.443143
13,13,0.441975
13,14,0.452850
13,15,0.468956
14,1,0.489005
14,2,0.453502
14,3,0.497225
14,4,0.535770
14,5,0.533703
14,6,0.534394
14,7,0.309364
14,8,0.463564
14,9,0.482810
14,10,0.495181
14,11,0.405085
14,12,0.499497
14,13,0.460733
14,14,0.506765
14,15,0.481063
15,1,0.467425
15,2,0.476958
15,3,0.519325
15,4,0.426354
15,5,0.489180
15,6,0.483975
15,7,0.479242
