episode,episodic_reward
0,4.321806
1,4.219847
2,4.138710
3,4.417757
4,4.027541
5,4.425878
6,4.290304
7,4.002652
8,4.221091
9,4.252685
10,4.084222
11,3.785074
12,4.178754
13,4.123108
14,4.222608
15,4.175579
16,4.179726
17,4.332055
18,4.084912
19,4.306301
20,4.086716
21,3.969065
22,4.201724
23,4.319130
24,4.185262
25,4.390327
26,3.906396
27,4.157784
28,3.806795
29,4.203675
30,4.269022
31,4.037210
32,4.294100
33,4.457119
34,4.169110
35,4.292912
36,4.013111
37,4.237793
38,4.424752
39,3.929372
40,4.174362
41,4.239673
42,4.241557
43,4.406135
44,4.327608
45,3.821480
46,4.098221
47,4.235875
48,4.095724
49,4.115056
50,4.149031
51,4.252409
52,4.118475
53,4.326515
54,4.196807
55,4.292510
56,4.433596
57,4.286275
58,3.939743
59,4.369672
60,4.300157
61,4.287113
62,4.091106
63,4.344939
64,3.874267
65,4.174994
66,4.019805
67,4.214586
68,4.348430
69,3.852988
70,4.289237
71,4.002561
72,4.062751
73,4.268980
74,4.122277
75,4.241678
76,4.170423
77,4.221684
78,4.281599
79,4.291584
80,4.476176
81,4.414902
82,4.177748
83,4.069196
84,3.854567
85,4.120755
86,4.224115
87,4.103711
88,4.370662
89,4.274171
90,3.930031
91,4.170675
92,3.948670
93,4.057307
94,3.780354
95,3.995331
96,4.211849
97,4.005076
98,4.308301
99,4.222104
100,4.047090
101,4.045898
102,4.251473
103,4.338574
104,4.144119
105,4.395173
106,4.207268
107,4.110113
108,4.156253
109,4.155450
110,4.025299
111,4.064829
112,4.318668
113,4.222716
114,4.253883
115,4.094383
116,4.327795
117,3.856953
118,4.223519
119,4.172889
120,3.915980
121,4.258169
122,4.012752
123,4.066138
124,4.249418
125,4.154376
126,4.081353
127,4.051344
128,4.179591
129,4.390836
130,4.390236
131,3.643014
132,4.153012
133,4.096348
134,4.091014
135,4.333707
136,4.285649
137,4.082171
138,4.143650
139,3.860810
140,4.279233
141,4.042903
142,4.300705
143,4.033541
144,4.163253
145,3.962395
146,3.976363
147,4.213196
148,4.078690
149,4.164681
150,4.052256
151,4.174155
152,4.144186
153,4.226910
154,4.374329
155,4.224573
156,4.052796
157,4.208930
158,4.005076
159,4.154727
160,4.240152
161,4.203374
162,4.257932
163,4.312090
164,4.234097
165,4.260678
166,4.102245
167,4.279518
168,4.147917
169,4.170043
170,4.106484
171,4.052469
172,3.945102
173,3.920602
174,4.285365
175,3.988516
176,4.319848
177,4.207224
178,4.201492
179,3.896704
180,4.044499
181,4.074091
182,4.402750
183,4.118184
184,4.226862
185,3.994544
186,4.192479
187,3.853877
188,4.202139
189,4.000716
190,3.993522
191,3.995406
192,4.131875
193,4.230376
194,4.099509
195,4.290251
196,3.909091
197,4.346054
198,4.069677
199,4.049412
200,4.317411
201,3.876266
202,4.053504
203,4.143818
204,4.112983
205,4.139533
206,4.235338
207,4.149072
208,3.888362
209,4.333080
210,4.324029
211,4.195895
212,4.243190
213,4.211148
214,4.309214
215,4.255597
216,3.930599
217,4.123899
218,4.366231
219,4.080593
220,3.629701
221,4.149381
222,3.743594
223,4.298680
224,4.413517
225,4.378256
226,3.936827
227,4.366984
228,3.986481
229,4.007324
230,4.106128
231,3.944312
232,4.209326
233,4.178549
234,3.890186
235,4.039075
236,4.087484
237,4.111403
238,4.408888
239,4.094353
240,4.324318
241,4.082753
242,4.224948
243,4.275082
244,4.077850
245,4.217941
246,4.081522
247,3.997438
248,4.272976
249,4.066469
250,4.159608
251,4.367992
252,4.122879
253,4.136239
254,4.147282
255,3.985245
256,3.992886
257,3.989783
258,4.088827
259,4.049812
260,3.861888
261,3.992652
262,4.241046
263,4.083358
264,4.201339
265,3.940288
266,4.334719
267,4.355946
268,4.278423
269,4.222298
270,4.388880
271,4.229278
272,4.256708
273,4.161203
274,4.171328
275,4.228938
276,4.480984
277,4.313933
278,3.835439
279,4.249628
280,4.134668
281,4.231439
282,4.203423
283,4.239702
284,3.842496
285,3.943346
286,4.265949
287,4.162785
288,4.324234
289,4.214276
290,4.155065
291,4.105035
292,4.057459
293,4.011719
294,4.036328
295,4.117028
296,4.301593
297,4.279520
298,4.240317
299,4.156215
300,3.968432
301,4.112699
302,4.373762
303,3.979828
304,4.287046
305,4.115363
306,3.850408
307,4.124453
308,4.203076
309,3.917386
310,4.205611
311,4.390193
312,4.361211
313,4.163989
314,4.161010
315,3.828675
316,4.074072
317,3.917969
318,3.735223
319,4.098401
320,4.112600
321,4.124762
322,4.178883
323,4.139037
324,4.109747
325,4.257071
326,4.218732
327,4.019930
328,4.246332
329,4.074048
330,4.105339
331,4.136958
332,4.034317
333,3.974532
334,4.301961
335,3.858823
336,4.004847
337,3.958242
338,4.288424
339,3.975937
340,4.226643
341,4.287498
342,4.244341
343,4.088723
344,4.164809
345,3.981532
346,4.105301
347,4.219860
348,4.279440
349,4.038846
350,4.039582
351,4.096215
352,4.101900
353,4.127280
354,4.116839
355,4.048360
356,4.259657
357,4.128254
358,4.180848
359,4.298272
360,3.993487
361,4.172079
362,4.410305
363,4.247112
364,4.257583
365,4.203794
366,3.965844
367,4.215874
368,4.148441
369,4.117127
370,4.441895
371,4.204600
372,4.013381
373,4.182299
374,4.088580
375,4.139917
376,4.218844
377,4.167997
378,4.296174
379,4.096767
380,4.086235
381,4.134739
382,4.285951
383,4.077143
384,3.936740
385,4.294830
386,4.090466
387,4.282677
388,4.045993
389,3.964658
390,3.925287
391,4.165622
392,4.281590
393,4.206871
394,4.130240
395,4.198553
396,4.054435
397,4.167307
398,4.102564
399,4.289098
400,3.968878
401,4.222978
402,4.271439
403,3.906891
404,4.190296
405,4.410252
406,3.890154
407,3.986773
408,3.988799
409,3.963153
410,3.812696
411,4.333997
412,4.190606
413,3.878579
414,4.166313
415,4.113649
416,4.135087
417,4.116373
418,3.933245
419,3.941117
420,4.060307
421,4.058091
422,3.991353
423,4.232639
424,4.007946
425,4.189719
426,4.061420
427,4.081627
428,4.323509
429,4.118155
430,4.148834
431,4.071167
432,4.160754
433,4.116246
434,4.317786
435,4.144313
436,4.186234
437,4.399135
438,4.139474
439,4.085510
440,3.968964
441,4.200270
442,4.340193
443,4.234927
444,4.120816
445,4.061636
446,4.041420
447,4.069300
448,4.000781
449,3.962311
450,4.190323
451,4.284533
452,3.948558
453,3.937595
454,4.088672
455,4.198347
456,4.293282
457,4.161293
458,3.939840
459,3.959484
460,4.269411
461,4.079391
462,3.802272
463,4.270255
464,4.206314
465,4.021122
466,4.056102
467,4.010673
468,3.963370
469,4.229240
470,3.868389
471,4.262454
472,4.060910
473,4.013389
474,4.087207
475,4.162669
476,3.770608
477,4.135513
478,4.221901
479,4.069588
480,4.176786
481,4.082977
482,3.973563
483,3.904601
484,4.141583
485,4.026735
486,3.891025
487,4.121806
488,3.744788
489,4.130737
490,3.874972
491,4.130998
492,4.316883
493,4.376955
494,3.919989
495,4.101860
496,3.992857
497,4.225081
498,4.064653
499,4.154290
500,4.386619
501,4.063224
502,3.855780
503,4.096819
504,3.981420
505,4.201809
506,4.202970
507,4.234567
508,3.997929
509,4.012370
510,4.116725
511,4.122378
512,4.108496
513,3.841557
514,4.135705
515,4.134667
516,4.123425
517,4.009296
518,4.259138
519,4.099942
520,3.842925
521,3.865342
522,4.193945
523,3.855761
524,4.112690
525,3.986319
526,3.942529
527,3.910694
528,4.308165
529,4.071655
530,4.215797
531,4.023844
532,4.141343
533,4.091400
534,4.028285
535,4.026964
536,4.267532
537,4.176248
538,4.203155
539,3.877807
540,4.409174
541,4.129326
542,4.197872
543,4.232247
544,4.291932
545,4.067310
546,4.146883
547,4.009089
548,4.329057
549,3.927362
550,4.181769
551,3.825949
552,4.071191
553,4.188654
554,4.161708
555,3.939294
556,4.149800
557,3.907046
558,4.370382
559,4.034618
560,3.977917
561,4.145816
562,4.044487
563,4.381427
564,4.281971
565,4.100207
566,4.281064
567,4.106432
568,4.394616
569,3.852114
570,3.755097
571,3.977835
572,4.136106
573,3.968550
574,3.997906
575,4.056092
576,4.276501
577,4.380701
578,3.979479
579,4.160484
580,4.209639
581,3.855950
582,4.119290
583,4.113427
584,4.137639
585,4.062843
586,4.201905
587,4.350230
588,4.284160
589,3.952014
590,4.412550
591,4.143931
592,4.206573
593,4.237801
594,4.227694
595,4.188639
596,4.024010
597,4.426663
598,4.220022
599,4.203847
600,4.157903
601,3.999444
602,4.187007
603,4.254402
604,4.199214
605,3.866010
606,4.017247
607,4.211105
608,4.205197
609,4.076520
610,4.112926
611,4.071492
612,3.983454
613,3.792341
614,3.975655
615,4.299675
616,4.114872
617,4.041118
618,3.920612
619,4.116439
620,4.002109
621,4.351076
622,4.121636
623,4.256219
624,4.308224
625,3.861430
626,4.329864
627,4.278568
628,3.889387
629,4.077090
630,3.935793
631,4.239549
632,4.444751
633,4.217648
634,3.891217
635,4.272427
636,3.943287
637,4.156477
638,3.998653
639,4.109570
640,3.957914
641,3.943961
642,4.242152
643,4.093610
644,4.312190
645,4.277387
646,4.020317
647,4.209502
648,3.853438
649,4.270464
650,4.083424
651,4.146695
652,4.148980
653,4.043859
654,4.070620
655,3.848454
656,4.241531
657,3.816262
658,4.214233
659,4.173919
660,3.823926
661,4.002952
662,3.935142
663,4.088379
664,4.235147
665,4.221096
666,4.260950
667,4.092600
668,4.249261
669,4.217698
670,3.953861
671,4.336900
672,4.241913
673,4.149438
674,4.177909
675,3.843577
676,4.005287
677,4.279931
678,3.917413
679,4.009172
680,4.275790
681,4.006436
682,3.993369
683,3.815655
684,4.021485
685,4.091042
686,4.025290
687,3.956215
688,4.203599
689,4.329938
690,4.286998
691,4.170478
692,4.008515
693,4.187559
694,4.017258
695,4.266312
696,3.914984
697,3.993676
698,4.333080
699,4.208129
700,4.205482
701,4.368623
702,3.906734
703,4.053049
704,3.944182
705,4.113907
706,4.399530
707,4.287951
708,4.199836
709,4.280588
710,4.240601
711,4.132244
712,3.875988
713,4.172854
714,4.195848
715,4.387617
716,4.365601
717,4.032883
718,3.910566
719,3.894131
720,4.366571
721,4.450039
722,4.142912
723,4.043464
724,4.115636
725,3.984054
726,4.106934
727,4.139634
728,3.932930
729,3.747567
730,4.201590
731,3.818622
732,4.247701
733,4.084374
734,4.143499
735,3.810052
736,3.957859
737,3.960458
738,4.379026
739,4.065306
740,4.041657
741,4.295464
742,4.062451
743,4.076896
744,4.177608
745,4.199237
746,3.907532
747,4.202247
748,4.408401
749,3.967816
750,4.450359
751,4.117419
752,4.207233
753,4.340807
754,3.990568
755,4.074299
756,3.923436
757,4.076802
758,4.424525
759,4.063281
760,4.059725
761,4.321125
762,4.097706
763,4.179332
764,4.071761
765,4.234400
766,4.141195
767,4.214775
768,4.059293
769,4.060039
770,4.267114
771,4.020856
772,4.218303
773,4.121334
774,4.079309
775,4.229487
776,3.901645
777,4.205337
778,3.871146
779,4.270951
780,4.375269
781,4.334893
782,4.332031
783,4.156878
784,4.409441
785,4.191899
786,4.036999
787,4.230162
788,4.271661
789,3.875818
790,4.385699
791,4.319099
792,3.907659
793,4.353900
794,4.272884
795,3.965697
796,4.068134
797,3.921853
798,3.899515
799,3.835729
800,4.170642
801,4.194116
802,4.118419
803,4.098414
804,3.873291
805,3.858155
806,3.882753
807,4.095218
808,4.005935
809,4.113195
810,3.955646
811,4.535035
812,3.899243
813,3.868032
814,4.090716
815,3.851868
816,4.164923
817,3.978897
818,3.891273
819,4.001064
820,4.218136
821,3.908499
822,4.265624
823,3.958207
824,3.937122
825,4.279445
826,4.295583
827,3.933753
828,3.915572
829,4.245770
830,4.131199
831,3.829251
832,4.154386
833,4.141715
834,4.026721
835,4.010605
836,4.030684
837,4.019583
838,4.261910
839,4.276992
840,4.098684
841,4.072251
842,4.082714
843,4.101124
844,4.413966
845,4.234282
846,4.077079
847,4.071309
848,4.219591
849,4.230171
850,4.074456
851,4.369490
852,3.979464
853,4.202910
854,4.152609
855,4.407145
856,3.731401
857,4.087631
858,3.866407
859,4.086613
860,4.017262
861,4.082259
862,3.997466
863,4.059962
864,4.316568
865,3.917980
866,4.400366
867,4.204848
868,4.084104
869,3.794690
870,4.133744
871,3.974652
872,4.048156
873,4.100407
874,4.183997
875,4.167943
876,4.035223
877,4.043375
878,4.079063
879,4.163011
880,4.022254
881,4.043710
882,4.154299
883,3.845691
884,4.030754
885,4.085671
886,4.056098
887,4.064266
888,4.089879
889,4.359660
890,4.251833
891,4.046123
892,4.264872
893,4.006449
894,4.253114
895,4.239133
896,4.293436
897,4.339874
898,4.356288
899,3.841241
900,4.303494
901,4.243515
902,4.108742
903,4.256872
904,4.010610
905,4.217353
906,3.993816
907,4.150206
908,4.012647
909,4.163753
910,3.906291
911,4.348626
912,4.085396
913,4.143630
914,4.359290
915,4.097449
916,4.263733
917,4.138433
918,4.155050
919,3.963354
920,4.310622
921,3.965124
922,3.951760
923,3.886621
924,4.068687
925,3.974105
926,4.130942
927,3.974164
928,4.113901
929,3.794914
930,4.159290
931,4.162517
932,3.966536
933,4.033048
934,4.037490
935,4.227158
936,3.889209
937,4.058545
938,4.012880
939,4.004729
940,4.194688
941,4.000951
942,4.081752
943,3.992278
944,4.092145
945,4.266189
946,3.983693
947,4.104110
948,3.899435
949,4.215307
950,4.193138
951,4.345288
952,4.023079
953,4.095013
954,4.001169
955,4.103716
956,3.752744
957,3.927287
958,3.997737
959,4.061743
960,4.323439
961,4.212785
962,3.841010
963,3.885427
964,3.972600
965,4.172356
966,4.037112
967,3.987358
968,4.267696
969,3.919502
970,4.028324
971,4.095165
972,4.144430
973,3.998563
974,3.942988
975,4.096752
976,4.111285
977,4.020237
978,3.962178
979,3.962401
980,3.908304
981,4.033668
982,3.781763
983,4.181552
984,4.129255
985,4.429183
986,4.080866
987,4.014343
988,4.252451
989,4.040708
990,4.263960
991,4.015465
992,3.946511
993,4.066045
994,4.098312
995,4.013473
996,4.175787
997,3.925819
998,3.926537
999,4.120578
1000,4.178571
1001,3.982927
1002,4.241157
1003,3.920060
1004,3.892557
1005,3.967130
1006,3.978249
1007,4.110052
1008,3.950663
1009,3.992169
1010,4.189138
1011,4.249197
1012,3.902680
1013,4.053129
1014,4.086082
