episode,step,reward
0,1,0.512167
0,2,0.496331
0,3,0.464872
0,4,0.445859
0,5,0.456105
0,6,0.451240
0,7,0.450898
0,8,0.465060
0,9,0.526528
0,10,0.496596
0,11,0.523915
0,12,0.486625
0,13,0.530826
0,14,0.442597
0,15,0.547988
1,1,0.533120
1,2,0.506124
1,3,0.457129
1,4,0.459912
1,5,0.484173
1,6,0.481565
1,7,0.478066
1,8,0.509039
1,9,0.450240
1,10,0.502417
1,11,0.510335
1,12,0.486287
1,13,0.541096
1,14,0.515670
1,15,0.535827
2,1,0.469167
2,2,0.454910
2,3,0.454590
2,4,0.463500
2,5,0.458350
2,6,0.457896
2,7,0.517390
2,8,0.476814
2,9,0.489077
2,10,0.465666
2,11,0.481277
2,12,0.499816
2,13,0.454710
2,14,0.445153
2,15,0.448992
3,1,0.408315
3,2,0.475813
3,3,0.483017
3,4,0.494219
3,5,0.473235
3,6,0.506128
3,7,0.435590
3,8,0.470437
3,9,0.482945
3,10,0.462906
3,11,0.496406
3,12,0.421166
3,13,0.475403
3,14,0.495476
3,15,0.469239
4,1,0.523064
4,2,0.488604
4,3,0.525622
4,4,0.528706
4,5,0.549866
4,6,0.550355
4,7,0.521661
4,8,0.529150
4,9,0.541105
4,10,0.490556
4,11,0.505534
4,12,0.501971
4,13,0.524986
4,14,0.576623
4,15,0.430471
5,1,0.432030
5,2,0.470168
5,3,0.465526
5,4,0.452804
5,5,0.487392
5,6,0.499683
5,7,0.501785
5,8,0.513241
5,9,0.460874
5,10,0.534916
5,11,0.535208
5,12,0.576354
5,13,0.510105
5,14,0.444483
5,15,0.528580
6,1,0.497303
6,2,0.520001
6,3,0.454490
6,4,0.497642
6,5,0.458197
6,6,0.443450
6,7,0.455305
6,8,0.438491
6,9,0.484608
6,10,0.463195
6,11,0.452788
6,12,0.458429
6,13,0.433838
6,14,0.482597
6,15,0.510723
7,1,0.450745
7,2,0.476067
7,3,0.456203
7,4,0.490187
7,5,0.492232
7,6,0.452689
7,7,0.501266
7,8,0.434589
7,9,0.503743
7,10,0.523150
7,11,0.467472
7,12,0.445043
7,13,0.451131
7,14,0.415796
7,15,0.460219
8,1,0.488218
8,2,0.530856
8,3,0.540057
8,4,0.514134
8,5,0.523200
8,6,0.534235
8,7,0.575943
8,8,0.528435
8,9,0.536274
8,10,0.434589
8,11,0.527168
8,12,0.574110
8,13,0.465180
8,14,0.508753
8,15,0.452166
9,1,0.457129
9,2,0.519457
9,3,0.549866
9,4,0.352267
9,5,0.476661
9,6,0.484081
9,7,0.461335
9,8,0.460635
9,9,0.461311
9,10,0.464647
9,11,0.468757
9,12,0.490918
9,13,0.457103
9,14,0.483294
9,15,0.507244
10,1,0.467064
10,2,0.429244
10,3,0.450570
10,4,0.456682
10,5,0.459038
10,6,0.503143
10,7,0.516609
10,8,0.497577
10,9,0.535789
10,10,0.478065
10,11,0.464479
10,12,0.453130
10,13,0.428933
10,14,0.463781
10,15,0.449755
11,1,0.493109
11,2,0.510381
11,3,0.385808
11,4,0.485099
11,5,0.458486
11,6,0.450221
11,7,0.441830
11,8,0.477562
11,9,0.473007
11,10,0.520931
11,11,0.490375
11,12,0.456711
11,13,0.575467
11,14,0.535263
11,15,0.508885
12,1,0.574110
12,2,0.476884
12,3,0.546623
12,4,0.451497
12,5,0.579136
12,6,0.507352
12,7,0.539966
12,8,0.535684
12,9,0.497733
12,10,0.533541
12,11,0.504113
12,12,0.557947
12,13,0.546288
12,14,0.555961
12,15,0.521778
13,1,0.464451
13,2,0.531294
13,3,0.509730
13,4,0.531944
13,5,0.465238
13,6,0.577407
13,7,0.552638
13,8,0.451013
13,9,0.508441
13,10,0.464770
13,11,0.472831
13,12,0.454687
13,13,0.478461
13,14,0.499685
13,15,0.506369
14,1,0.471671
14,2,0.487095
14,3,0.537042
14,4,0.510891
14,5,0.535702
14,6,0.447265
14,7,0.492199
14,8,0.541361
14,9,0.480720
14,10,0.443546
14,11,0.485645
14,12,0.555555
14,13,0.454008
14,14,0.458949
14,15,0.505361
15,1,0.466824
15,2,0.503855
15,3,0.456084
15,4,0.460914
15,5,0.453832
15,6,0.451224
15,7,0.506369
15,8,0.431378
15,9,0.448881
15,10,0.493959
15,11,0.506369
15,12,0.451013
15,13,0.498088
15,14,0.525693
15,15,0.321911
16,1,0.510413
16,2,0.464209
16,3,0.451855
16,4,0.447084
16,5,0.434848
16,6,0.441082
16,7,0.467123
16,8,0.518099
16,9,0.455194
16,10,0.470955
16,11,0.525746
16,12,0.465969
16,13,0.523915
16,14,0.509537
16,15,0.475726
17,1,0.436940
17,2,0.549036
17,3,0.492326
17,4,0.500261
17,5,0.574110
