episode,episodic_reward
0,4.292316
1,4.132785
2,4.127783
3,4.049827
4,4.293096
5,4.053054
6,4.001349
7,3.925869
8,4.030015
9,4.096520
10,4.244204
11,3.976969
12,4.030427
13,4.219278
14,3.949387
15,4.040065
16,4.063968
17,4.216325
18,4.052292
19,4.073467
20,4.229512
21,3.999140
22,4.151527
23,4.125212
24,3.845872
25,4.164537
26,4.138362
27,4.207050
28,4.159777
29,4.319227
30,4.188652
31,4.013777
32,4.050022
33,4.168705
34,4.064702
35,4.104767
36,4.179230
37,4.248894
38,4.298252
39,4.150415
40,4.118290
41,4.051380
42,4.186740
43,4.070497
44,4.055670
45,4.303248
46,4.203099
47,4.245838
48,3.985439
49,4.345329
50,4.063927
51,4.010305
52,4.095757
53,4.094679
54,4.106580
55,4.096551
56,4.137105
57,3.936332
58,4.043774
59,4.042981
60,4.138007
61,4.069528
62,4.182602
63,4.110797
64,4.083060
65,4.015350
66,4.286179
67,4.232213
68,4.131048
69,3.990213
70,4.219364
71,4.097977
72,4.216335
73,4.016606
74,3.990430
75,4.187920
76,4.201969
77,4.063239
78,4.461762
79,4.275137
80,4.126502
81,4.135951
82,4.263685
83,3.985116
84,4.255804
85,4.182642
86,4.180674
87,4.004165
88,3.936543
89,4.230276
90,4.152340
91,4.206519
92,4.224536
93,4.248636
94,4.241894
95,4.050649
96,4.089006
97,4.119127
98,4.014108
99,4.110890
100,4.152552
101,4.185534
102,4.013620
103,4.162438
104,4.167365
105,4.275547
106,3.855716
107,4.234787
108,4.117152
109,4.017922
110,3.975936
111,4.185125
112,4.138343
113,4.135116
114,4.107035
115,4.249805
116,4.131961
117,4.309071
118,4.184535
119,4.124582
120,4.129095
121,4.083821
122,4.104481
123,4.238075
124,4.062244
125,4.315092
126,4.044444
127,4.151895
128,4.299097
129,4.320857
130,4.370552
131,4.194591
132,4.079884
133,4.133958
134,4.282804
135,4.010467
136,4.211107
137,4.214787
138,4.104430
139,4.137760
140,4.247434
141,4.243595
142,4.287478
143,4.183002
144,4.007022
145,4.224707
146,4.170462
147,4.029448
148,4.248379
149,4.020624
150,4.271171
151,4.003500
152,4.044213
153,3.979736
154,4.233795
155,3.996365
156,4.246317
157,4.239252
158,3.961636
159,4.260859
160,4.139207
161,4.037322
162,3.923114
163,4.140973
164,3.986504
165,4.138662
166,4.033167
167,4.011988
168,4.044866
169,4.131341
170,4.109416
171,4.101293
172,4.109291
173,4.156058
174,4.206288
175,4.351886
176,4.098452
177,4.055957
178,4.123602
179,4.198547
180,4.060927
181,3.963942
182,4.057418
183,4.123430
184,4.276200
185,4.090006
186,4.249838
187,4.116604
188,4.096897
189,4.043628
190,4.109676
191,4.278070
192,4.272966
193,3.974766
194,4.086862
195,3.992884
196,4.094592
197,4.053007
198,4.245547
199,3.923332
200,3.985269
201,4.144534
202,3.974684
203,4.045555
204,4.163759
205,4.294170
206,4.034381
207,4.136276
208,4.218251
209,4.059219
210,4.128600
211,4.130006
212,4.045219
213,4.098484
214,4.268603
215,4.226989
216,4.138804
217,4.197282
218,3.935994
219,4.125350
220,4.068204
221,4.034340
222,4.027566
223,4.355125
224,4.350949
225,4.366575
226,4.127685
227,4.044106
228,4.151100
229,4.129496
230,4.181856
231,4.021384
232,4.029653
233,4.273008
234,4.261039
235,4.041738
236,4.011239
237,4.242099
238,4.253718
239,4.026148
240,4.196945
241,4.156798
242,4.183523
243,4.130206
244,4.157884
245,4.155818
246,4.132149
247,3.972171
248,4.151462
249,4.119674
250,4.148432
251,4.167955
252,4.188024
253,4.105500
254,4.062893
255,4.138729
256,4.164930
257,4.243418
258,4.181252
259,4.114138
260,3.915155
261,3.966976
262,4.160361
263,4.001566
264,4.362769
265,4.253607
266,4.114465
267,4.059543
268,4.220711
269,3.952594
270,4.262874
271,4.072906
272,4.099338
273,4.044432
274,3.983555
275,4.047625
276,4.094675
277,4.019877
278,4.067746
279,4.047304
280,4.261920
281,4.085212
282,3.974340
283,4.241891
284,4.111651
285,4.279720
286,4.226278
287,4.080702
288,4.125745
289,4.140399
290,4.088576
291,4.182410
292,4.171945
293,3.975537
294,4.243046
295,4.050387
296,4.173174
297,4.084016
298,4.037636
299,4.033984
300,3.968653
301,4.223060
302,4.257331
303,4.078873
304,4.078215
305,4.183610
306,4.267491
307,4.333288
308,4.143180
309,4.188578
310,4.416850
311,4.093055
312,3.985364
313,4.010788
314,4.147988
315,3.927759
316,4.330338
317,4.057968
318,3.940382
319,4.081199
320,4.203159
321,4.256338
322,4.163021
323,4.139429
324,4.177535
325,3.913161
326,4.072756
327,4.473425
328,4.218135
329,3.994998
330,4.172100
331,4.040721
332,4.119215
333,4.330977
334,4.235069
335,4.208681
336,4.429017
337,4.203154
338,4.150378
339,4.051260
340,4.091481
341,4.208477
342,4.177453
343,4.045987
344,4.092791
345,4.180709
346,4.317091
347,3.950746
348,4.137338
349,4.047778
350,4.074243
351,4.135261
352,4.117319
353,3.979869
354,4.067824
355,4.058856
356,4.043833
357,4.119439
