episode,step,reward
0,1,0.493080
0,2,0.527385
0,3,0.457637
0,4,0.450060
0,5,0.443746
0,6,0.455542
0,7,0.448380
0,8,0.460569
0,9,0.452540
0,10,0.444724
0,11,0.454215
0,12,0.446204
0,13,0.447680
0,14,0.457220
0,15,0.447971
1,1,0.467064
1,2,0.488939
1,3,0.458858
1,4,0.487693
1,5,0.476413
1,6,0.520760
1,7,0.517313
1,8,0.532687
1,9,0.522942
1,10,0.455879
1,11,0.470962
1,12,0.500805
1,13,0.490745
1,14,0.458754
1,15,0.464692
2,1,0.456488
2,2,0.487474
2,3,0.495636
2,4,0.448463
2,5,0.481046
2,6,0.465388
2,7,0.468696
2,8,0.502014
2,9,0.501034
2,10,0.529947
2,11,0.522741
2,12,0.524434
2,13,0.527977
2,14,0.528847
2,15,0.520594
3,1,0.526180
3,2,0.520682
3,3,0.525352
3,4,0.527527
3,5,0.527828
3,6,0.460255
3,7,0.481998
3,8,0.498957
3,9,0.496678
3,10,0.532137
3,11,0.532933
3,12,0.452944
3,13,0.445228
3,14,0.466046
3,15,0.503884
4,1,0.456637
4,2,0.463815
4,3,0.459202
4,4,0.487012
4,5,0.478281
4,6,0.456450
4,7,0.451532
4,8,0.459502
4,9,0.495107
4,10,0.522604
4,11,0.518799
4,12,0.527650
4,13,0.456876
4,14,0.444123
4,15,0.443235
5,1,0.451708
5,2,0.446885
5,3,0.462304
5,4,0.466316
5,5,0.457083
5,6,0.450989
5,7,0.456519
5,8,0.474815
5,9,0.467422
5,10,0.446885
5,11,0.457295
5,12,0.453704
5,13,0.445466
5,14,0.451294
5,15,0.450553
6,1,0.451300
6,2,0.446028
6,3,0.451660
6,4,0.450165
6,5,0.448384
6,6,0.448898
6,7,0.459694
6,8,0.487239
6,9,0.501639
6,10,0.461786
6,11,0.448899
6,12,0.451647
6,13,0.458341
6,14,0.453177
6,15,0.454345
7,1,0.462448
7,2,0.524365
7,3,0.525328
7,4,0.527184
7,5,0.522981
7,6,0.526429
7,7,0.456662
7,8,0.449658
7,9,0.451910
7,10,0.451865
7,11,0.448441
7,12,0.504540
7,13,0.457588
7,14,0.445450
7,15,0.449429
8,1,0.501855
8,2,0.521195
8,3,0.464943
8,4,0.464304
8,5,0.497544
8,6,0.526980
8,7,0.518766
8,8,0.462029
8,9,0.464797
8,10,0.447398
8,11,0.496015
8,12,0.526980
8,13,0.525862
8,14,0.521476
8,15,0.527030
9,1,0.460512
9,2,0.455580
9,3,0.449555
9,4,0.501852
9,5,0.527346
9,6,0.525906
9,7,0.527184
9,8,0.461026
9,9,0.456231
9,10,0.443528
9,11,0.450056
9,12,0.497757
9,13,0.492364
9,14,0.502467
9,15,0.519997
10,1,0.458420
10,2,0.482608
10,3,0.458156
10,4,0.487693
10,5,0.471093
10,6,0.500618
10,7,0.522120
10,8,0.463703
10,9,0.448877
10,10,0.454901
10,11,0.460455
10,12,0.453389
10,13,0.446336
10,14,0.457797
10,15,0.463962
11,1,0.504060
11,2,0.492910
11,3,0.465053
11,4,0.490159
11,5,0.497034
11,6,0.495699
11,7,0.530699
11,8,0.522790
11,9,0.464166
11,10,0.455720
11,11,0.465540
11,12,0.468164
11,13,0.448495
11,14,0.491056
11,15,0.520405
12,1,0.457599
12,2,0.487186
12,3,0.496598
12,4,0.531339
12,5,0.531155
12,6,0.530161
12,7,0.460512
12,8,0.447553
12,9,0.459891
12,10,0.465849
12,11,0.499565
12,12,0.521458
12,13,0.456754
12,14,0.452589
12,15,0.452566
13,1,0.455116
13,2,0.501588
13,3,0.459837
13,4,0.461489
13,5,0.447749
13,6,0.495071
13,7,0.503947
13,8,0.460034
13,9,0.467956
13,10,0.504091
13,11,0.520767
13,12,0.526980
13,13,0.522741
13,14,0.532687
13,15,0.522692
14,1,0.455226
14,2,0.446018
14,3,0.455624
14,4,0.466107
14,5,0.457613
14,6,0.455424
14,7,0.459391
14,8,0.453616
14,9,0.456018
14,10,0.515986
14,11,0.457403
14,12,0.485206
14,13,0.489645
14,14,0.521823
14,15,0.458879
15,1,0.449766
15,2,0.452479
15,3,0.449528
15,4,0.463083
15,5,0.461238
15,6,0.483787
15,7,0.491433
15,8,0.498346
15,9,0.521635
15,10,0.521641
15,11,0.456754
15,12,0.451012
15,13,0.454754
15,14,0.465335
15,15,0.528458
16,1,0.521989
16,2,0.460014
16,3,0.461526
16,4,0.495502
16,5,0.504229
16,6,0.460512
16,7,0.464437
16,8,0.453626
16,9,0.500909
16,10,0.461786
16,11,0.442708
16,12,0.489868
16,13,0.495507
16,14,0.518096
16,15,0.523049
17,1,0.531429
17,2,0.521458
17,3,0.531339
17,4,0.458077
17,5,0.482404
17,6,0.477789
17,7,0.494514
17,8,0.526844
17,9,0.461032
17,10,0.446297
17,11,0.450652
17,12,0.508113
17,13,0.449534
17,14,0.481022
17,15,0.501639
18,1,0.457588
18,2,0.461762
18,3,0.540391
18,4,0.518789
18,5,0.514651
18,6,0.458458
18,7,0.466702
18,8,0.502712
18,9,0.503436
18,10,0.455294
18,11,0.450574
18,12,0.447985
18,13,0.462927
18,14,0.483554
18,15,0.476086
19,1,0.498648
19,2,0.456075
19,3,0.488053
19,4,0.476779
19,5,0.503904
19,6,0.459262
19,7,0.452687
19,8,0.455066
19,9,0.492197
19,10,0.504375
19,11,0.524929
19,12,0.517626
19,13,0.458405
19,14,0.449400
19,15,0.450929
20,1,0.445081
20,2,0.454545
20,3,0.490979
20,4,0.497665
20,5,0.520575
20,6,0.521458
20,7,0.456754
20,8,0.450347
20,9,0.440388
20,10,0.468613
20,11,0.465749
20,12,0.484724
20,13,0.458266
20,14,0.449199
20,15,0.447686
21,1,0.506927
21,2,0.505482
21,3,0.456183
21,4,0.470062
21,5,0.457746
21,6,0.486693
21,7,0.467035
21,8,0.482270
21,9,0.477929
21,10,0.502625
21,11,0.457783
21,12,0.483963
21,13,0.454420
21,14,0.447979
21,15,0.453770
22,1,0.505932
22,2,0.449534
22,3,0.454428
22,4,0.446973
22,5,0.457830
22,6,0.468517
22,7,0.501639
22,8,0.489966
22,9,0.501147
22,10,0.527285
22,11,0.463001
22,12,0.450803
22,13,0.449412
22,14,0.456681
22,15,0.448517
23,1,0.454412
23,2,0.494142
23,3,0.493623
23,4,0.521645
23,5,0.526978
23,6,0.460512
23,7,0.456231
23,8,0.441714
23,9,0.453420
23,10,0.492813
23,11,0.495254
23,12,0.455990
23,13,0.455842
23,14,0.453723
23,15,0.471763
24,1,0.446023
24,2,0.458432
24,3,0.457902
24,4,0.446704
24,5,0.447018
24,6,0.456761
24,7,0.445579
24,8,0.468777
24,9,0.452357
24,10,0.525867
24,11,0.458130
24,12,0.458622
24,13,0.448537
24,14,0.495432
24,15,0.523742
25,1,0.458879
25,2,0.471121
25,3,0.457234
25,4,0.447017
25,5,0.453709
25,6,0.477929
25,7,0.521641
25,8,0.517818
25,9,0.527022
25,10,0.518716
25,11,0.526999
25,12,0.459224
25,13,0.464831
25,14,0.451126
25,15,0.453876
26,1,0.450635
26,2,0.462119
26,3,0.467450
26,4,0.507503
26,5,0.521458
26,6,0.526857
26,7,0.522970
26,8,0.532687
26,9,0.527238
26,10,0.520192
26,11,0.451275
26,12,0.487321
26,13,0.507532
26,14,0.456754
26,15,0.485828
27,1,0.497676
27,2,0.456940
27,3,0.450109
27,4,0.453142
27,5,0.494927
27,6,0.497071
27,7,0.456547
27,8,0.485828
27,9,0.451094
27,10,0.505806
27,11,0.498196
27,12,0.499061
27,13,0.449893
27,14,0.481650
27,15,0.450820
28,1,0.454238
28,2,0.446608
28,3,0.444571
28,4,0.451885
28,5,0.447654
28,6,0.463532
28,7,0.444616
28,8,0.451893
28,9,0.492032
28,10,0.531704
28,11,0.517824
28,12,0.517818
28,13,0.521458
28,14,0.521641
28,15,0.457223
29,1,0.482404
29,2,0.451820
29,3,0.471628
29,4,0.457112
29,5,0.482723
29,6,0.490732
29,7,0.520771
29,8,0.458355
29,9,0.485828
29,10,0.453439
29,11,0.483722
29,12,0.469216
29,13,0.523742
29,14,0.521458
29,15,0.527304
30,1,0.523019
30,2,0.520435
30,3,0.526786
30,4,0.519109
30,5,0.518909
30,6,0.520341
30,7,0.521248
30,8,0.521958
30,9,0.522978
30,10,0.520426
30,11,0.526802
30,12,0.519159
30,13,0.527373
30,14,0.526881
30,15,0.527977
31,1,0.523872
31,2,0.522926
31,3,0.521536
31,4,0.456819
31,5,0.446601
31,6,0.446432
31,7,0.451030
31,8,0.457879
31,9,0.446635
31,10,0.445436
31,11,0.454229
31,12,0.457777
31,13,0.451000
31,14,0.448281
31,15,0.452707
32,1,0.448698
32,2,0.458858
32,3,0.451557
32,4,0.443371
32,5,0.450511
32,6,0.470438
32,7,0.521823
32,8,0.521458
32,9,0.526857
32,10,0.522307
32,11,0.522994
32,12,0.452281
32,13,0.449519
32,14,0.466503
32,15,0.450264
33,1,0.457695
33,2,0.457986
33,3,0.467744
33,4,0.452498
33,5,0.452403
33,6,0.506281
33,7,0.525310
33,8,0.452707
33,9,0.451832
33,10,0.443956
33,11,0.449244
33,12,0.449975
33,13,0.454935
33,14,0.463000
33,15,0.446120
34,1,0.456366
34,2,0.493327
34,3,0.459310
34,4,0.455583
34,5,0.453770
34,6,0.506182
34,7,0.529837
34,8,0.456361
34,9,0.444331
34,10,0.451589
34,11,0.454658
34,12,0.448642
34,13,0.457134
34,14,0.454479
34,15,0.455578
35,1,0.470451
35,2,0.470066
35,3,0.446327
35,4,0.461598
35,5,0.446220
35,6,0.448737
35,7,0.491812
35,8,0.455630
35,9,0.449182
35,10,0.451053
35,11,0.452387
35,12,0.459945
35,13,0.448314
35,14,0.458157
35,15,0.492627
36,1,0.504089
36,2,0.455397
36,3,0.462858
36,4,0.459168
36,5,0.467766
36,6,0.501891
36,7,0.491368
36,8,0.445775
36,9,0.449658
36,10,0.452511
36,11,0.455216
36,12,0.445753
36,13,0.458822
36,14,0.495871
36,15,0.521641
37,1,0.530161
37,2,0.522741
37,3,0.462150
37,4,0.452332
37,5,0.445695
37,6,0.456820
37,7,0.480121
37,8,0.501154
37,9,0.497929
37,10,0.521774
37,11,0.456378
37,12,0.454428
37,13,0.453723
37,14,0.467016
37,15,0.465126
38,1,0.469281
38,2,0.465261
38,3,0.470066
38,4,0.446327
38,5,0.457010
38,6,0.473917
38,7,0.464765
38,8,0.456135
38,9,0.444726
38,10,0.449696
38,11,0.463234
38,12,0.453846
38,13,0.450428
38,14,0.447402
38,15,0.464899
39,1,0.445349
39,2,0.455021
39,3,0.457240
39,4,0.445491
39,5,0.455830
39,6,0.494625
39,7,0.526762
39,8,0.459172
39,9,0.481816
39,10,0.496199
39,11,0.456754
39,12,0.450295
39,13,0.460047
39,14,0.473549
39,15,0.473382
40,1,0.473495
40,2,0.510212
40,3,0.509899
40,4,0.525235
40,5,0.521224
40,6,0.526125
40,7,0.458293
40,8,0.449130
40,9,0.454059
40,10,0.454044
40,11,0.444848
40,12,0.454796
40,13,0.490917
40,14,0.503775
40,15,0.525559
41,1,0.520801
41,2,0.457977
41,3,0.449766
41,4,0.443371
41,5,0.450026
41,6,0.460506
41,7,0.459784
41,8,0.454811
41,9,0.459795
41,10,0.455502
41,11,0.468868
41,12,0.449587
41,13,0.484240
41,14,0.479031
41,15,0.515722
42,1,0.449670
42,2,0.464929
42,3,0.500429
42,4,0.451306
42,5,0.446153
42,6,0.449455
42,7,0.501702
42,8,0.498284
42,9,0.521940
42,10,0.455659
42,11,0.451142
42,12,0.458915
42,13,0.458938
42,14,0.447648
42,15,0.457595
43,1,0.451219
43,2,0.462611
43,3,0.458500
43,4,0.445392
43,5,0.463391
43,6,0.468994
43,7,0.445695
43,8,0.451575
43,9,0.494743
43,10,0.457424
43,11,0.446600
43,12,0.451232
43,13,0.457591
43,14,0.467281
43,15,0.453813
44,1,0.445889
44,2,0.447811
44,3,0.495811
44,4,0.514919
44,5,0.529714
44,6,0.460512
44,7,0.463435
44,8,0.445221
44,9,0.451763
44,10,0.495281
44,11,0.455683
44,12,0.449637
44,13,0.450360
44,14,0.449173
44,15,0.454791
45,1,0.448470
45,2,0.496864
45,3,0.525700
45,4,0.523767
45,5,0.518288
45,6,0.531745
45,7,0.456754
45,8,0.450295
45,9,0.451666
45,10,0.460987
45,11,0.450180
45,12,0.463096
45,13,0.450578
45,14,0.446822
45,15,0.496073
46,1,0.497021
46,2,0.448283
46,3,0.481046
46,4,0.456466
46,5,0.472667
46,6,0.505333
46,7,0.520767
46,8,0.521458
46,9,0.455952
46,10,0.481046
46,11,0.507066
46,12,0.520663
46,13,0.456754
46,14,0.485963
46,15,0.466123
47,1,0.453292
47,2,0.451918
47,3,0.457403
47,4,0.457775
47,5,0.453006
47,6,0.457980
47,7,0.475314
47,8,0.464092
47,9,0.482391
47,10,0.494002
47,11,0.529630
47,12,0.521732
47,13,0.527232
47,14,0.526369
47,15,0.455321
48,1,0.483271
48,2,0.496688
48,3,0.499220
48,4,0.448237
48,5,0.482539
48,6,0.496598
48,7,0.456432
48,8,0.486610
48,9,0.458113
48,10,0.445856
48,11,0.456428
48,12,0.449060
48,13,0.496672
48,14,0.495134
48,15,0.497045
49,1,0.522659
49,2,0.524154
49,3,0.462150
49,4,0.465094
49,5,0.461522
49,6,0.457991
49,7,0.467877
49,8,0.452162
49,9,0.494528
49,10,0.522615
49,11,0.526802
49,12,0.523277
49,13,0.464166
49,14,0.450057
49,15,0.450770
50,1,0.501720
50,2,0.498472
50,3,0.522351
50,4,0.522158
50,5,0.460512
50,6,0.449065
50,7,0.450763
50,8,0.448547
50,9,0.454706
50,10,0.454780
50,11,0.454152
50,12,0.467858
50,13,0.449508
50,14,0.505955
50,15,0.527304
51,1,0.522790
51,2,0.522608
51,3,0.532298
51,4,0.521958
51,5,0.526857
51,6,0.524599
51,7,0.458201
51,8,0.450574
51,9,0.453075
51,10,0.497818
51,11,0.457976
51,12,0.448899
51,13,0.450773
51,14,0.498718
51,15,0.531746
52,1,0.526533
52,2,0.520812
52,3,0.447986
52,4,0.466244
52,5,0.489769
52,6,0.457599
52,7,0.444779
52,8,0.453726
52,9,0.457367
52,10,0.462297
52,11,0.449588
52,12,0.460281
52,13,0.450775
52,14,0.449733
52,15,0.456806
53,1,0.487321
53,2,0.453439
53,3,0.447313
53,4,0.458050
53,5,0.501154
53,6,0.456485
53,7,0.442645
53,8,0.467875
53,9,0.452588
53,10,0.457220
53,11,0.484043
53,12,0.500429
53,13,0.519968
53,14,0.525460
53,15,0.460512
54,1,0.443218
54,2,0.466236
54,3,0.468607
54,4,0.447169
54,5,0.454135
54,6,0.494477
54,7,0.499133
54,8,0.533337
54,9,0.541186
54,10,0.521909
54,11,0.521995
54,12,0.527346
54,13,0.461283
54,14,0.442635
54,15,0.496327
55,1,0.526773
55,2,0.457132
55,3,0.451721
55,4,0.452843
55,5,0.466405
55,6,0.525116
55,7,0.526024
55,8,0.460512
55,9,0.487171
55,10,0.495146
55,11,0.521731
55,12,0.531149
