episode,episodic_reward
0,4.011384
1,4.188891
2,3.883198
3,3.998624
4,4.035626
5,4.080536
6,4.114103
7,4.298165
8,4.217461
9,3.691046
10,4.178387
11,4.191473
12,4.282265
13,4.037284
14,3.642915
15,4.103557
16,4.328897
17,4.198992
18,4.313932
19,4.357910
20,4.263237
21,4.175360
22,4.199642
23,3.860976
24,4.449713
25,4.249801
26,4.254115
27,4.058658
28,3.886133
29,4.249754
30,4.181781
31,4.152427
32,4.274664
33,4.221847
34,4.257655
35,4.177521
36,3.812843
37,3.985245
38,3.798450
39,4.092516
40,4.301175
41,4.430558
42,4.277353
43,4.241112
44,4.276625
45,4.207141
46,4.337220
47,4.165431
48,4.069619
49,4.146474
50,4.081216
51,4.330808
52,3.974314
53,4.048015
54,4.201491
55,4.155152
56,4.467039
57,3.934145
58,4.031353
59,4.227516
60,4.225061
61,4.365261
62,4.481946
63,3.933276
64,4.044342
65,3.701305
66,3.755108
67,3.982699
68,4.194347
69,4.300551
70,4.308481
71,4.168868
72,3.920438
73,4.065031
74,4.355181
75,4.289714
76,4.244688
77,4.413699
78,3.946361
79,4.461243
80,4.036546
81,4.203636
82,4.302830
83,4.129640
84,4.212594
85,4.239722
86,4.371560
87,4.080128
88,4.069691
89,4.019331
90,4.353556
91,4.397982
92,4.287370
93,3.931126
94,4.268998
95,4.119493
96,4.017081
97,4.137017
98,3.815167
99,4.535721
100,4.045211
101,4.023816
102,4.271821
103,4.101694
104,4.204197
105,3.716049
106,3.985974
107,3.962137
108,4.238631
109,4.178615
110,4.222652
111,3.744432
112,3.867340
113,4.102085
114,3.982007
115,4.210696
116,4.228008
117,4.240485
118,4.113302
119,4.083712
120,4.289452
121,4.336653
122,4.342943
123,4.376447
124,4.081167
125,3.939687
126,4.233502
127,4.214949
128,4.301506
129,4.058937
130,4.279216
131,3.974869
132,4.290673
133,4.031128
134,4.237992
135,4.328067
136,4.135625
137,4.331982
138,4.245511
139,4.033185
140,4.133726
141,4.215458
142,4.413918
143,4.271753
144,4.118120
145,4.304690
146,4.345631
147,4.250039
148,4.220117
149,4.115314
150,4.192810
151,4.207975
152,3.978443
153,4.112909
154,4.381411
155,4.266692
156,4.276825
157,4.069113
158,4.390322
159,4.196152
160,4.347495
161,4.337871
162,4.438850
163,4.337701
164,4.147188
165,4.255755
166,4.297780
167,4.125003
168,4.202525
169,4.279635
170,4.225853
171,4.276367
172,4.306253
173,3.981325
174,4.102269
175,4.159860
176,3.930277
177,4.213874
178,4.160490
179,4.174489
180,4.164174
181,4.002881
182,4.123176
183,4.266331
184,4.051346
185,4.142683
186,4.201917
187,4.286750
188,3.996054
189,4.270425
190,4.045720
191,4.085633
192,4.276062
193,4.087716
194,4.261275
195,4.203773
196,4.257884
197,4.341930
198,4.072107
199,4.216122
200,4.411984
201,4.417003
202,4.147980
203,4.236444
204,4.271569
205,4.323071
206,4.147955
207,4.215354
208,4.033335
209,4.116994
210,4.218051
211,4.142475
212,4.302303
213,4.010433
214,4.108818
215,3.978897
216,4.307984
217,4.312769
218,4.051795
219,3.928098
220,4.100129
221,4.108375
222,4.052116
223,4.070679
224,4.330562
225,4.153410
226,4.226645
227,4.067624
228,4.275262
229,4.017198
230,4.000038
231,4.127350
232,4.111472
233,4.156087
234,3.964326
