request_id,request_type,access_rate
0,p,0.400000
1,s,0.200000
2,s,0.400000
3,p,0.400000
4,s,0.600000
5,p,0.400000
6,d,0.400000
7,p,0.200000
8,p,0.400000
9,d,0.200000
10,s,0.600000
11,p,0.400000
12,s,0.600000
13,p,0.200000
14,s,0.400000
15,d,0.600000
16,p,0.400000
17,d,0.600000
18,p,0.600000
19,p,0.800000
20,d,0.400000
21,s,0.600000
22,s,0.800000
23,s,1.000000
24,d,0.200000
25,p,1.000000
26,p,0.800000
27,s,0.400000
28,s,0.200000
29,d,0.400000
30,s,0.400000
31,p,0.800000
32,d,0.600000
33,d,0.600000
34,d,0.800000
35,d,0.400000
36,p,0.600000
37,d,0.600000
38,p,0.800000
39,p,0.400000
40,d,0.600000
41,p,0.800000
42,d,0.400000
43,p,0.800000
44,d,0.600000
45,p,0.800000
46,p,0.600000
47,p,0.800000
48,d,0.800000
49,d,0.800000
50,s,0.400000
51,p,0.600000
52,p,0.600000
53,p,0.400000
54,p,0.600000
55,d,0.600000
56,d,0.400000
57,s,0.800000
58,s,0.400000
59,d,0.800000
60,p,1.000000
61,p,0.400000
62,s,0.600000
63,s,0.600000
64,s,0.200000
65,d,0.400000
66,d,0.400000
67,p,0.600000
68,p,0.600000
69,s,0.400000
70,p,0.200000
71,p,1.000000
72,d,0.800000
73,p,0.800000
74,s,0.600000
75,p,0.800000
76,d,0.200000
77,p,0.400000
78,s,0.600000
79,s,0.400000
80,p,0.400000
81,s,0.600000
82,p,0.200000
83,d,1.000000
84,s,0.400000
85,p,0.600000
86,p,0.200000
87,s,0.600000
88,p,0.200000
89,p,0.600000
90,d,0.800000
91,s,0.600000
92,d,0.800000
93,d,0.600000
94,d,0.200000
95,p,0.400000
96,s,0.400000
97,d,0.200000
98,d,0.400000
99,d,0.600000
100,d,0.400000
101,d,0.800000
102,d,0.400000
103,p,0.600000
104,s,0.200000
105,s,0.800000
106,s,0.800000
107,s,0.200000
108,d,0.600000
109,d,0.800000
110,s,0.600000
111,d,0.400000
112,p,0.600000
113,d,0.800000
114,p,0.400000
115,d,0.600000
116,s,0.800000
117,p,0.200000
118,s,0.800000
119,p,0.400000
120,p,0.400000
121,d,0.800000
122,d,0.600000
123,d,0.800000
124,p,0.400000
125,s,0.600000
126,p,0.600000
127,s,0.400000
128,s,0.400000
129,p,0.800000
130,p,0.400000
131,p,0.600000
132,p,0.600000
133,d,0.200000
134,s,0.400000
135,p,0.800000
136,d,0.400000
137,s,0.600000
138,s,0.400000
139,p,0.600000
140,d,0.400000
141,p,0.600000
142,s,0.800000
143,s,0.600000
144,d,0.600000
145,p,0.600000
146,s,1.000000
147,s,0.400000
148,s,0.200000
149,p,0.400000
150,s,0.800000
151,p,0.400000
152,d,0.200000
153,p,0.600000
154,s,0.400000
155,s,0.600000
156,d,0.400000
157,p,0.600000
