episode,episodic_reward
0,3.963790
1,4.131706
2,4.042925
3,4.154200
4,4.014085
5,4.052479
6,4.408434
7,4.334173
8,4.099662
9,4.005224
10,4.125079
11,4.071908
12,4.358269
13,4.100069
14,4.251723
15,4.278530
16,4.130424
17,4.262135
18,4.310755
19,4.005046
20,4.457485
21,4.078847
22,4.326120
23,4.248987
24,3.939550
25,4.095881
26,4.317950
27,4.300847
28,4.124170
29,4.149900
30,4.008353
31,3.991961
32,4.284288
33,4.054471
34,4.416367
35,3.771364
36,3.881292
37,4.391010
38,4.164239
39,3.894064
40,4.154793
41,4.113080
42,3.795189
43,4.348985
44,4.327897
45,4.048876
46,4.351262
47,4.052528
48,4.172387
49,4.226720
50,4.244538
51,4.305909
52,4.194128
53,3.747368
54,4.395881
55,3.990754
56,4.001854
57,3.990179
58,4.249619
59,4.253265
60,4.181220
61,4.191377
62,4.084457
63,3.726460
64,3.997877
65,4.161990
66,4.103413
67,4.380790
68,4.489744
69,4.087678
70,4.296517
71,4.230456
72,4.367877
73,4.363204
74,4.092192
75,4.194717
76,4.156761
77,4.202097
78,4.093324
79,4.218385
80,3.968744
81,3.842471
82,4.253746
83,4.263612
84,4.348170
85,4.337941
86,4.263717
87,4.056286
88,3.925438
89,4.375144
90,4.458352
91,4.080783
92,3.759069
93,4.159441
94,4.073323
95,4.250012
96,4.300583
97,3.885143
98,4.324349
99,3.655566
100,3.879724
101,3.932737
102,4.436767
103,4.217680
104,3.907751
105,4.092066
106,4.290280
107,4.177736
108,3.792030
109,4.319583
110,3.878493
111,3.767393
112,4.224106
113,4.457811
114,4.340446
115,4.269062
116,4.048044
117,4.279576
118,4.275617
119,4.156710
120,4.019766
121,4.445997
122,3.583352
123,4.495785
124,4.226086
125,4.200880
126,4.464815
127,4.259968
128,4.094828
129,4.021288
130,4.212537
131,4.466577
132,4.124352
133,4.143967
134,4.089796
135,4.096840
136,3.930568
137,4.244931
138,4.452903
139,3.789352
140,4.409283
141,4.002003
142,3.983714
143,4.395375
144,4.345639
145,4.354147
146,3.907851
147,3.831383
148,4.263049
149,4.312075
150,4.257606
151,4.014277
152,4.283515
153,4.396520
154,3.834356
155,4.102954
156,4.480657
157,4.241255
158,3.947352
159,3.984402
160,4.233700
161,3.945888
162,3.720226
163,4.076757
164,4.254096
165,4.082511
166,4.231070
167,4.228285
168,3.884512
169,4.491365
170,3.948183
171,4.339535
172,4.133041
173,4.194170
174,4.045309
175,4.203156
176,4.060385
177,4.038331
178,4.096090
179,4.509144
180,4.104851
181,4.154347
182,4.291747
183,4.441296
184,4.186453
185,3.964904
186,4.147012
187,4.131752
188,4.193370
189,4.208697
190,4.349120
191,4.205110
192,4.247990
193,4.057718
194,4.435941
195,4.183378
196,4.139155
197,4.197461
198,4.007950
199,4.355910
200,3.900274
201,3.895238
202,4.053023
203,3.844620
204,4.052563
205,4.356965
206,3.656692
207,4.332793
208,4.145838
209,4.094274
210,3.545774
211,4.219018
212,4.225526
213,4.387373
214,4.339703
215,4.132336
216,3.661942
217,4.144840
218,3.907262
219,4.214931
220,4.101732
221,3.550086
222,4.523780
223,3.824082
224,4.091606
225,4.091190
226,3.984571
227,4.277636
228,3.985714
229,3.959601
230,4.109735
231,4.157331
232,4.147714
233,4.409834
234,4.482475
235,4.380458
236,4.002992
237,4.074553
238,4.194299
239,4.274577
240,4.395392
241,4.030769
242,4.141813
243,4.329967
244,3.837244
245,4.274235
246,4.000503
247,4.263978
248,4.118713
249,4.235403
250,4.414187
251,4.306928
252,4.056114
253,3.885735
254,4.051263
255,4.196771
256,3.976231
257,3.998854
258,4.371996
259,4.308511
260,4.247336
261,4.155452
262,4.166924
263,4.120964
264,3.877063
265,4.279897
266,4.299871
267,3.816100
268,4.192660
269,4.231066
270,4.370516
271,4.315501
272,4.213507
273,4.295086
274,4.156827
275,3.845256
276,4.248827
277,4.286049
278,4.323709
279,4.373366
280,4.318689
281,4.146673
282,4.157243
283,4.211233
284,3.934687
285,4.256535
286,4.161687
287,4.077625
288,4.246536
289,4.122469
290,4.340314
291,4.068507
292,4.057440
293,4.106021
294,4.089643
295,3.870104
296,4.266926
297,4.337505
298,3.931012
299,4.117929
300,4.277331
301,4.188774
302,4.051574
303,4.025182
304,4.228170
305,3.953271
306,4.287297
307,4.057667
308,4.100095
309,4.262754
310,3.701675
311,4.177853
312,4.238190
313,4.279701
314,4.370949
315,4.228589
316,4.138820
317,4.379700
318,4.282050
319,4.131873
320,4.227692
321,4.043375
322,4.304646
323,4.282257
324,4.308174
325,4.160078
326,4.439439
327,4.268060
328,4.384923
329,4.226401
330,4.087270
331,4.366107
332,3.897286
333,4.226485
334,4.257226
335,4.120875
336,4.287012
337,4.217789
338,4.303525
339,4.122972
340,4.102374
341,4.202409
342,4.175222
343,4.309733
344,4.236552
345,4.132475
346,4.221053
347,4.085999
348,4.036915
349,4.076341
350,4.293698
351,4.221064
352,4.078299
353,4.208890
354,4.164907
355,4.250934
356,4.314524
357,4.171882
358,4.223342
359,4.331527
360,4.101612
361,3.976754
362,4.185094
363,4.159016
364,4.264919
365,4.332593
366,4.179797
367,4.139659
368,4.262939
369,4.198420
370,4.098693
371,4.103510
372,4.274568
373,3.892064
374,4.206505
375,4.314925
376,4.163886
377,4.045823
378,4.042120
379,4.017384
380,4.212557
381,4.284393
382,4.111057
383,4.214874
384,4.141694
385,4.220575
386,4.227855
387,4.190347
388,4.291059
389,4.231011
390,4.099631
391,4.419705
392,4.095866
393,4.416792
394,4.188920
395,4.361002
396,4.111026
397,3.952467
398,4.398262
399,4.221772
400,4.153321
401,4.050538
402,4.154405
403,4.173803
404,4.144757
405,4.213298
406,4.058374
407,4.298553
408,4.115246
409,4.205697
410,4.003575
411,4.050834
412,4.173008
413,4.245705
414,3.872983
415,3.942039
416,4.246620
417,4.378280
418,4.029755
419,4.498758
420,4.344076
421,3.938396
422,4.245570
423,4.287888
424,3.915797
425,4.275261
426,4.056439
427,4.141910
428,4.354521
429,3.716108
430,4.024703
431,4.318874
432,4.312051
433,3.681084
434,4.088128
435,4.261698
436,4.025926
437,3.938773
438,4.021897
439,4.168742
440,4.232242
441,3.796193
442,4.148948
443,4.171148
444,4.093335
445,4.353134
446,4.302733
447,4.114042
448,4.192562
449,4.028254
450,4.159438
451,4.173868
452,4.347566
453,4.084326
454,3.887677
455,4.087579
456,4.318303
457,4.087074
458,4.145121
459,4.263447
460,4.318767
461,4.211259
462,4.251156
463,4.324562
464,4.125333
465,4.283295
466,3.852581
467,4.007641
468,4.049538
469,4.134387
470,4.223126
471,3.908281
472,4.210335
473,4.294433
474,4.339155
475,3.641515
476,3.960372
477,4.104675
478,4.242458
479,4.012112
480,4.336779
481,4.168385
482,3.996950
483,3.832641
484,4.060443
485,4.332587
486,3.982429
487,4.242444
488,4.244621
489,4.076661
490,3.756517
491,4.124334
492,3.992627
493,3.929990
494,4.020297
495,4.396540
496,4.007944
497,4.266353
498,4.434166
499,4.206339
500,4.143827
501,4.450042
502,4.019261
503,3.549775
504,4.037253
505,4.157398
506,4.199178
507,4.061098
508,3.893285
509,4.075253
510,4.275861
511,4.261820
512,4.186186
513,4.276953
514,4.063291
515,4.158617
516,3.692822
517,4.252278
518,4.133999
519,4.088390
520,4.278910
521,3.920339
522,4.171762
523,3.848805
524,4.058353
525,4.313780
526,4.246508
527,4.247020
528,3.844181
529,4.169888
530,4.136331
531,4.268617
532,3.997512
533,4.182807
534,4.345741
535,4.278423
536,3.743290
537,4.170315
538,4.199047
539,4.072277
540,4.206642
541,4.018764
542,4.223311
543,4.263067
544,3.976252
545,4.103920
546,4.005144
547,4.372187
548,4.186458
549,4.148512
550,4.138809
551,4.167242
552,3.922989
553,4.113014
554,4.142353
555,4.022357
556,4.066159
557,4.176434
558,4.165303
559,4.272118
560,4.108945
561,4.305352
562,4.143619
563,4.088516
564,4.008215
565,3.549425
566,4.142462
567,4.202818
568,4.329246
569,4.396193
570,3.832745
571,4.306421
572,3.957832
573,4.330692
574,4.231113
575,4.024090
576,4.219238
577,4.360443
578,4.082609
579,4.301036
580,4.216754
581,4.058253
582,4.325262
583,4.046455
584,4.080699
585,4.137333
586,4.377136
587,3.958131
588,4.193091
589,3.908731
590,4.126608
591,3.999540
592,4.104319
593,4.024574
594,3.968527
595,3.996887
596,4.350234
597,4.173012
598,4.239999
599,4.228331
600,4.246791
601,4.092641
602,4.064567
603,4.235802
604,4.242782
605,4.281318
606,4.042610
607,4.258779
608,4.153341
609,3.905167
610,4.207309
611,4.161774
612,4.312638
613,4.086679
614,3.834257
615,4.205112
616,4.184543
617,4.303022
618,4.107294
619,4.077499
620,4.038491
621,4.255532
622,4.461675
623,4.082694
624,4.019287
625,4.159981
626,4.261441
627,4.280790
628,4.277016
629,4.181395
630,4.017293
631,3.984620
632,3.858957
633,4.276473
634,4.070391
635,3.978403
636,4.299269
637,3.976787
638,4.093693
639,4.163379
640,4.119831
641,4.249559
642,4.019415
643,4.332342
644,4.227704
645,4.097043
646,4.198579
647,4.343866
648,4.141730
649,4.025679
650,4.146645
651,4.276924
652,4.110999
653,4.038456
654,4.210114
655,3.749436
656,3.786333
657,4.164961
658,4.256906
659,4.106458
660,4.058584
661,4.279189
662,3.724562
663,4.264586
664,4.265345
665,4.146118
666,4.152519
667,4.239974
668,3.770905
669,4.090100
670,4.254483
671,3.860138
672,4.244372
673,4.115385
674,4.229220
675,4.125271
676,3.982176
677,4.032948
678,4.013936
679,4.164890
680,4.152375
681,4.351708
682,4.083613
683,4.230579
684,4.198566
685,4.107173
686,4.220015
687,4.164035
688,4.185606
689,4.272913
690,4.113974
691,4.224483
692,4.210867
693,4.012172
694,3.851860
695,4.373263
696,4.163477
697,4.097823
698,4.151379
699,3.861998
700,4.157582
701,4.243715
702,4.154445
703,4.011174
704,4.006208
705,3.956870
706,4.187122
707,3.989386
708,4.242687
709,3.924704
710,4.248397
711,4.269695
712,4.300807
713,4.253142
714,4.113750
715,3.812220
716,4.258345
717,4.212585
718,4.118255
719,4.268200
720,4.299005
721,4.084351
722,4.195986
723,4.233022
724,3.877887
725,4.206044
726,4.264454
727,4.110844
728,4.153147
729,4.073081
730,4.109868
731,4.209585
732,4.405185
733,4.098657
734,4.084031
735,4.308954
736,3.926676
737,4.255699
738,4.021171
739,4.171528
740,4.140674
741,4.242824
742,4.352932
743,4.219871
744,4.047121
745,4.201669
746,4.226904
747,4.175592
748,3.948921
749,4.139460
750,4.364170
751,4.306484
752,4.348721
753,4.218234
754,4.153389
755,3.908921
756,4.104097
757,4.051238
758,3.943371
759,4.169259
760,4.288903
761,3.954675
762,4.045246
763,4.025897
764,3.994303
765,3.919293
766,3.938368
767,4.175523
768,4.039743
769,3.995854
770,4.323810
771,4.322787
772,4.164172
773,4.185140
774,4.105021
775,4.065255
776,4.042572
777,4.261740
778,4.222044
779,4.229760
780,4.041763
781,4.197707
782,3.970332
783,4.109721
784,4.175272
785,4.251607
786,4.306116
787,4.148516
788,4.022052
789,4.219139
790,4.116758
791,4.020976
792,4.234104
793,4.261807
794,4.355479
795,4.461331
796,4.230879
797,4.225836
798,4.027398
799,4.163510
800,4.386618
801,4.192171
