episode,step,reward
0,1,0.492131
0,2,0.445859
0,3,0.327572
0,4,0.483238
0,5,0.471355
0,6,0.505965
0,7,0.525622
0,8,0.490927
0,9,0.564999
0,10,0.458053
0,11,0.454533
0,12,0.462098
0,13,0.540846
0,14,0.476719
0,15,0.480110
1,1,0.479353
1,2,0.496331
1,3,0.536359
1,4,0.520157
1,5,0.459007
1,6,0.461240
1,7,0.461679
1,8,0.482319
1,9,0.466697
1,10,0.490463
1,11,0.449768
1,12,0.574206
1,13,0.514248
1,14,0.524054
1,15,0.488113
2,1,0.463546
2,2,0.513084
2,3,0.457927
2,4,0.522259
2,5,0.525731
2,6,0.500448
2,7,0.500198
2,8,0.450098
2,9,0.348891
2,10,0.434478
2,11,0.504982
2,12,0.460755
2,13,0.454916
2,14,0.455718
2,15,0.449430
3,1,0.475773
3,2,0.453037
3,3,0.452605
3,4,0.467821
3,5,0.451377
3,6,0.528894
3,7,0.578655
3,8,0.535827
3,9,0.538879
3,10,0.493297
3,11,0.532073
3,12,0.550338
3,13,0.535827
3,14,0.477627
3,15,0.466280
4,1,0.453592
4,2,0.490262
4,3,0.462434
4,4,0.534077
4,5,0.368133
4,6,0.455389
4,7,0.464246
4,8,0.436431
4,9,0.459633
4,10,0.435137
4,11,0.470638
4,12,0.457637
4,13,0.496315
4,14,0.434589
4,15,0.454053
5,1,0.438196
5,2,0.448793
5,3,0.464569
5,4,0.438821
5,5,0.453985
5,6,0.459837
5,7,0.451588
5,8,0.492503
5,9,0.475624
5,10,0.463622
5,11,0.455461
5,12,0.511527
5,13,0.514177
5,14,0.465066
5,15,0.524483
6,1,0.536505
6,2,0.532604
6,3,0.534067
6,4,0.538643
6,5,0.552323
6,6,0.525792
6,7,0.446930
6,8,0.537524
6,9,0.547988
6,10,0.497941
6,11,0.441210
6,12,0.451727
6,13,0.290305
6,14,0.459562
6,15,0.454104
7,1,0.534946
7,2,0.504620
7,3,0.486899
7,4,0.507666
7,5,0.508973
7,6,0.550943
7,7,0.450098
7,8,0.482555
7,9,0.462059
7,10,0.490553
7,11,0.490016
7,12,0.463296
7,13,0.448545
7,14,0.465268
7,15,0.514214
8,1,0.510169
8,2,0.552662
8,3,0.491437
8,4,0.497642
8,5,0.463091
8,6,0.479252
8,7,0.493044
8,8,0.455687
8,9,0.466207
8,10,0.489005
8,11,0.537648
8,12,0.458071
8,13,0.495071
8,14,0.463863
8,15,0.512167
9,1,0.454035
9,2,0.441293
9,3,0.506223
9,4,0.451726
9,5,0.506369
9,6,0.501971
9,7,0.545566
9,8,0.369143
9,9,0.452057
9,10,0.416166
9,11,0.306162
9,12,0.525634
9,13,0.480437
9,14,0.528786
9,15,0.533703
10,1,0.510381
10,2,0.488542
10,3,0.471098
10,4,0.512883
10,5,0.493751
10,6,0.535135
10,7,0.466824
10,8,0.485885
10,9,0.468518
10,10,0.464246
10,11,0.510576
10,12,0.500983
10,13,0.533704
10,14,0.397650
10,15,0.556680
11,1,0.467011
11,2,0.489271
11,3,0.498445
11,4,0.434589
11,5,0.469687
11,6,0.448864
11,7,0.311325
11,8,0.531294
11,9,0.453159
11,10,0.544948
11,11,0.541848
11,12,0.305413
11,13,0.498262
11,14,0.509730
11,15,0.484081
12,1,0.476249
12,2,0.532890
12,3,0.579701
12,4,0.435089
12,5,0.461244
12,6,0.463545
12,7,0.463546
12,8,0.435590
12,9,0.520439
12,10,0.474816
12,11,0.456316
12,12,0.477660
