episode,episodic_reward
0,4.231031
1,4.215118
2,3.969781
3,4.100790
4,4.173388
5,4.183705
6,4.323231
7,4.299127
8,4.328045
9,4.350671
10,4.291683
11,4.055983
12,4.389108
13,4.145467
14,4.351359
15,4.138977
16,3.882100
17,4.421208
18,4.215037
19,4.240504
20,3.898688
21,4.314602
22,4.111683
23,4.164373
24,4.181208
25,4.020483
26,4.089003
27,4.087458
28,3.902358
29,4.205243
30,4.466119
31,4.297787
32,4.041316
33,4.069193
34,4.058673
35,4.082494
36,4.118496
37,4.317999
38,3.872077
39,4.288621
40,4.254288
41,4.099158
42,4.059048
43,4.118088
44,4.275518
45,4.008926
46,4.274335
47,4.193160
48,4.433887
49,4.401879
50,4.334070
51,4.232337
52,4.288595
53,4.167868
54,4.154961
55,4.106095
56,4.047565
57,4.184199
58,3.927624
59,4.050298
60,4.181512
61,4.231893
62,4.233241
63,4.519507
64,4.207453
65,4.127813
66,3.952840
67,4.456074
68,3.962074
69,4.194882
70,4.275042
71,4.240750
72,4.380180
73,4.219223
74,4.076143
75,4.148831
76,3.960207
77,4.264845
78,4.126785
79,3.966428
80,4.125861
81,4.054828
82,4.133372
83,4.193800
84,3.918910
85,4.255747
86,4.109162
87,3.860576
88,4.094687
89,4.150088
90,4.010611
91,4.111255
92,4.150669
93,4.143194
94,4.300142
95,4.162098
96,4.097446
97,4.195346
98,3.709237
99,4.270074
100,3.819166
101,4.433551
102,4.009362
103,4.315708
104,4.260847
105,4.186894
106,4.313555
107,4.254989
108,4.368634
109,4.190469
110,4.061302
111,4.058431
112,4.241801
113,4.179504
114,4.113017
115,3.757976
116,3.999163
117,4.129716
118,4.138501
119,4.283739
120,4.402867
121,4.203661
122,4.065244
123,4.250686
124,3.836847
125,4.036468
126,4.351296
127,3.751169
128,4.302749
129,4.231612
130,4.225137
131,4.375841
132,4.068884
133,4.072470
134,4.089426
135,4.447837
136,3.989138
137,4.215590
138,4.210533
139,4.037513
140,4.156683
141,4.490261
142,4.040223
143,4.103132
144,4.249537
145,4.231335
146,4.463873
147,4.063083
148,4.311254
149,4.362851
150,3.970257
151,4.175472
152,4.235059
153,4.175666
154,4.246171
155,3.895371
156,3.907794
157,4.387218
158,4.292746
159,4.064720
160,3.859797
161,4.165117
162,4.165620
163,4.398693
164,4.169583
165,4.246998
166,4.386461
167,4.098615
168,4.265918
169,4.233949
170,4.253519
171,4.204158
172,4.102749
173,4.112908
174,4.257818
175,3.746351
176,4.002672
177,4.115796
178,3.979186
179,4.085861
180,4.187610
181,4.182496
182,4.173747
183,4.187254
184,4.290293
185,4.425460
186,4.152219
187,4.111416
188,3.760831
189,4.189531
190,3.935895
191,3.826382
192,4.037029
193,4.241290
194,4.336170
195,4.335390
196,3.943256
197,3.897492
198,4.130812
199,4.197932
200,4.193279
201,4.108901
202,4.368902
203,4.151845
204,4.251207
205,4.473607
206,4.340723
207,4.225434
208,4.028046
209,4.167794
210,4.190281
211,4.304069
212,3.914280
213,4.285750
214,4.428553
215,4.207351
216,4.126792
217,4.029029
218,4.028572
219,4.187761
220,3.946440
221,4.363973
222,4.138090
223,4.119674
224,3.990855
225,4.329625
226,4.002629
227,4.348259
228,4.043462
229,4.107101
230,4.071790
231,4.080542
232,4.489890
233,4.282545
234,4.083169
235,3.934581
236,4.039428
237,3.932532
238,4.440824
239,4.161041
240,4.138742
241,4.088732
242,4.226374
243,4.335914
244,4.205772
245,3.974725
246,4.219195
247,4.199198
248,3.820894
249,4.289361
250,4.065873
251,3.994830
252,4.054637
253,4.030588
254,4.145970
255,3.930104
256,4.179710
257,4.088347
258,4.309139
259,4.017265
260,4.028304
261,4.073181
262,3.994067
263,4.028232
264,4.250813
265,4.303928
266,4.311676
267,4.098150
268,4.139472
269,4.091943
270,4.097916
271,4.246715
272,4.058252
273,4.190716
274,3.939410
275,4.278077
276,4.028872
277,4.362291
278,3.898862
279,3.889278
280,4.153725
281,4.231689
282,4.136262
283,4.270949
284,4.050001
285,4.008571
286,4.178292
287,3.943021
288,4.395500
289,4.217855
290,4.064148
291,4.397106
292,3.968881
293,4.003507
294,3.989145
295,4.144039
296,4.087496
297,4.023022
298,3.965375
299,3.854576
300,4.378548
301,4.239924
302,3.804805
303,4.212284
304,4.002008
305,3.836446
306,4.085103
307,3.927633
308,4.129758
309,4.165441
310,4.026274
311,4.033481
312,3.926165
313,3.998143
314,4.165892
315,4.207831
316,3.875707
317,4.361640
318,4.152660
319,3.939640
320,3.913065
321,4.291257
322,4.186569
323,4.085844
324,4.094687
325,3.991543
326,4.121315
327,4.053976
328,4.181043
329,4.021338
330,4.105205
331,4.086085
332,4.032049
333,4.174238
334,3.981949
335,3.833964
336,3.921196
337,4.095934
338,3.934925
339,4.142230
340,3.852757
341,3.952600
342,3.928230
343,4.105402
344,3.978842
345,4.006806
346,4.064692
347,4.194220
348,3.758242
349,4.029097
350,4.003716
351,4.036585
352,3.988882
353,4.199769
354,4.147141
355,4.288268
356,4.355601
357,4.048435
358,4.081591
359,4.147951
360,4.095081
361,4.282988
362,3.903339
363,4.144889
364,4.095447
365,4.174759
366,4.158093
367,4.214659
368,4.085165
369,4.225522
370,4.035001
371,4.032187
372,4.046852
373,4.272567
374,4.017967
375,3.957576
376,4.022930
377,4.005117
378,4.011903
379,4.235333
380,3.905019
381,4.059970
382,3.663071
383,4.042533
384,4.000565
385,4.246365
386,4.155438
387,4.342174
388,4.131671
389,3.918487
390,3.904421
391,3.970977
392,4.348201
393,4.304727
394,4.102821
395,3.885564
396,4.072807
397,4.110510
398,4.141329
399,4.009233
400,3.910736
401,3.941850
402,3.796341
403,3.971149
404,4.098807
405,4.109529
406,4.026112
407,4.029441
408,4.424054
409,4.280988
410,4.263170
411,4.005338
412,4.042495
413,4.038087
414,4.311223
415,4.130555
416,4.061720
417,3.937328
418,3.965611
419,4.134355
420,4.284799
421,3.918352
422,4.077322
423,4.250889
424,4.309200
425,4.134956
426,4.335079
427,4.143654
428,4.138297
429,4.249370
430,4.176872
431,4.217801
432,4.031798
433,4.064139
434,4.109340
435,4.267061
436,4.047540
437,3.962033
438,4.249820
439,3.915467
440,4.048798
441,4.123234
442,3.930819
443,4.363485
444,4.181352
445,4.026970
446,4.152167
447,4.091578
448,4.043567
449,3.972788
450,4.224411
451,3.885276
452,4.116898
453,4.006909
454,4.105316
455,4.345491
456,4.222799
457,3.971780
458,3.940745
459,4.033260
460,4.027637
461,4.027395
462,3.948228
463,3.906895
464,4.054157
465,3.984688
466,4.152337
467,4.063879
468,4.038209
469,4.167924
470,4.438254
471,3.858786
472,4.018752
473,4.190589
474,3.898680
475,4.012868
476,4.300242
477,3.907883
478,4.322582
479,4.210830
480,4.282996
481,4.087489
482,4.091214
483,4.279449
484,4.278443
485,4.053563
486,4.167428
487,4.272933
488,4.107206
489,3.980591
490,4.086129
491,4.075464
492,4.139585
493,4.216890
494,3.998657
495,4.013567
496,4.104411
497,4.212280
