episode,step,reward
0,1,0.492966
0,2,0.474816
0,3,0.562031
0,4,0.452834
0,5,0.470214
0,6,0.460954
0,7,0.502064
0,8,0.461041
0,9,0.501621
0,10,0.493586
0,11,0.539779
0,12,0.512019
0,13,0.469356
0,14,0.495768
0,15,0.547988
1,1,0.519457
1,2,0.513670
1,3,0.445859
1,4,0.532282
1,5,0.510703
1,6,0.491091
1,7,0.533030
1,8,0.545274
1,9,0.450142
1,10,0.478852
1,11,0.453441
1,12,0.479090
1,13,0.470714
1,14,0.490474
1,15,0.520439
2,1,0.502562
2,2,0.436464
2,3,0.447342
2,4,0.434589
2,5,0.347951
2,6,0.460400
2,7,0.474724
2,8,0.500413
2,9,0.445709
2,10,0.484803
2,11,0.515813
2,12,0.471642
2,13,0.470104
2,14,0.472909
2,15,0.506701
3,1,0.514785
3,2,0.522940
3,3,0.438714
3,4,0.472346
3,5,0.435590
3,6,0.471348
3,7,0.526614
3,8,0.464246
3,9,0.486667
3,10,0.522760
3,11,0.503627
3,12,0.446665
3,13,0.450420
3,14,0.463004
3,15,0.467347
4,1,0.506369
4,2,0.477695
4,3,0.457081
4,4,0.516284
4,5,0.553153
4,6,0.529518
4,7,0.494594
4,8,0.574110
4,9,0.309473
4,10,0.506117
4,11,0.478070
4,12,0.446948
4,13,0.434589
4,14,0.405085
4,15,0.453637
5,1,0.477557
5,2,0.438738
5,3,0.467629
5,4,0.507591
5,5,0.502705
5,6,0.486943
5,7,0.535952
5,8,0.493357
5,9,0.480262
5,10,0.500925
5,11,0.543890
5,12,0.533703
5,13,0.444190
5,14,0.484010
5,15,0.411744
6,1,0.438400
6,2,0.532282
6,3,0.429346
6,4,0.489513
6,5,0.500261
6,6,0.531294
6,7,0.574110
6,8,0.469194
6,9,0.500261
6,10,0.434589
6,11,0.536499
6,12,0.523678
6,13,0.539256
6,14,0.543482
6,15,0.445809
7,1,0.463334
7,2,0.477925
7,3,0.477706
7,4,0.520813
7,5,0.512655
7,6,0.495341
7,7,0.457308
7,8,0.531753
7,9,0.500261
7,10,0.559811
7,11,0.511077
7,12,0.457114
7,13,0.477706
7,14,0.444899
7,15,0.543924
8,1,0.495553
8,2,0.533824
8,3,0.582009
8,4,0.479610
8,5,0.457224
8,6,0.489873
8,7,0.549014
8,8,0.453878
8,9,0.530507
8,10,0.507078
8,11,0.477757
8,12,0.514013
8,13,0.463174
8,14,0.492966
8,15,0.547988
9,1,0.534090
9,2,0.546623
9,3,0.574110
9,4,0.430471
9,5,0.405085
9,6,0.422127
9,7,0.526789
9,8,0.576875
9,9,0.578040
9,10,0.531294
9,11,0.450761
9,12,0.485829
9,13,0.549866
9,14,0.515813
9,15,0.488479
10,1,0.486625
10,2,0.520813
10,3,0.521767
10,4,0.504123
10,5,0.508220
10,6,0.524190
10,7,0.452709
10,8,0.506369
10,9,0.453735
10,10,0.447332
10,11,0.492966
10,12,0.554876
10,13,0.537878
10,14,0.457919
10,15,0.468278
11,1,0.483348
11,2,0.369116
11,3,0.465921
11,4,0.501070
11,5,0.525495
11,6,0.458120
11,7,0.444951
11,8,0.437293
11,9,0.498768
11,10,0.457971
11,11,0.456619
11,12,0.487291
11,13,0.446879
11,14,0.493825
11,15,0.476470
12,1,0.495156
12,2,0.532774
12,3,0.530078
12,4,0.561723
12,5,0.459762
12,6,0.468327
12,7,0.451927
12,8,0.472753
12,9,0.508835
12,10,0.462176
12,11,0.511077
12,12,0.466679
12,13,0.485647
12,14,0.485880
12,15,0.469878
13,1,0.449476
13,2,0.501971
13,3,0.461619
13,4,0.514986
13,5,0.458896
13,6,0.479210
13,7,0.495160
13,8,0.463023
13,9,0.543035
13,10,0.539811
13,11,0.443033
13,12,0.411744
13,13,0.508753
13,14,0.516911
13,15,0.475608
14,1,0.525593
14,2,0.469085
14,3,0.473330
14,4,0.522042
14,5,0.506322
14,6,0.510125
14,7,0.555991
14,8,0.520813
14,9,0.579136
14,10,0.574110
14,11,0.531294
14,12,0.498291
14,13,0.445858
14,14,0.479018
14,15,0.460251
15,1,0.405085
15,2,0.470955
15,3,0.380913
15,4,0.547988
15,5,0.522483
15,6,0.521309
15,7,0.531294
15,8,0.457620
15,9,0.486420
15,10,0.458390
15,11,0.491437
15,12,0.434589
15,13,0.451025
15,14,0.458617
15,15,0.306039
16,1,0.455629
16,2,0.534661
16,3,0.479499
16,4,0.492710
16,5,0.527817
16,6,0.553196
16,7,0.310159
16,8,0.330800
16,9,0.471202
16,10,0.456857
16,11,0.290060
16,12,0.440644
16,13,0.454104
16,14,0.500715
16,15,0.509970
17,1,0.547412
17,2,0.533808
17,3,0.562877
17,4,0.535334
17,5,0.545566
17,6,0.535135
17,7,0.470584
17,8,0.452819
17,9,0.486417
17,10,0.498247
17,11,0.489354
17,12,0.574110
17,13,0.508115
17,14,0.482941
17,15,0.473797
18,1,0.503028
18,2,0.515823
18,3,0.532802
18,4,0.459497
18,5,0.497674
18,6,0.486059
18,7,0.489803
18,8,0.537648
18,9,0.523038
18,10,0.529945
18,11,0.574858
18,12,0.542814
18,13,0.435089
18,14,0.431232
18,15,0.482739
19,1,0.443071
19,2,0.499845
19,3,0.526170
19,4,0.435590
19,5,0.517081
19,6,0.439418
19,7,0.544947
19,8,0.533559
19,9,0.510381
19,10,0.493637
19,11,0.549194
19,12,0.508197
19,13,0.483527
19,14,0.485693
19,15,0.438214
20,1,0.444898
20,2,0.491712
20,3,0.311617
20,4,0.480549
20,5,0.508220
20,6,0.443116
20,7,0.501399
20,8,0.459058
20,9,0.456002
20,10,0.356369
20,11,0.469403
20,12,0.479021
20,13,0.451892
20,14,0.440470
20,15,0.523915
21,1,0.512050
21,2,0.488479
21,3,0.534055
21,4,0.553725
21,5,0.532901
21,6,0.541218
21,7,0.574110
21,8,0.510891
21,9,0.456565
21,10,0.453575
21,11,0.445328
21,12,0.537488
21,13,0.446254
21,14,0.419837
21,15,0.415796
22,1,0.512167
22,2,0.451235
22,3,0.432336
22,4,0.496863
22,5,0.487535
22,6,0.515251
22,7,0.526789
22,8,0.459558
22,9,0.543452
22,10,0.445087
22,11,0.411744
22,12,0.413629
22,13,0.445175
22,14,0.497469
22,15,0.434589
23,1,0.523751
23,2,0.301157
23,3,0.480038
23,4,0.481344
23,5,0.545566
23,6,0.478151
23,7,0.538063
23,8,0.493297
23,9,0.520813
23,10,0.530495
23,11,0.532282
23,12,0.549036
23,13,0.434589
23,14,0.521133
23,15,0.574110
24,1,0.475296
24,2,0.497782
24,3,0.493881
24,4,0.447877
24,5,0.448065
24,6,0.455816
24,7,0.497469
24,8,0.574110
24,9,0.504352
24,10,0.485880
24,11,0.441839
24,12,0.473422
24,13,0.513993
24,14,0.498503
24,15,0.574110
25,1,0.475296
25,2,0.478474
25,3,0.405085
25,4,0.491851
25,5,0.459797
25,6,0.497859
25,7,0.506124
25,8,0.453374
25,9,0.451338
25,10,0.479823
25,11,0.518244
25,12,0.479057
25,13,0.564999
25,14,0.468970
25,15,0.456584
26,1,0.453155
26,2,0.512790
26,3,0.517391
26,4,0.435590
26,5,0.405085
26,6,0.496331
26,7,0.489306
26,8,0.500095
26,9,0.540536
26,10,0.463759
26,11,0.419837
26,12,0.500261
26,13,0.506369
26,14,0.458617
26,15,0.217294
27,1,0.479866
27,2,0.468653
27,3,0.434589
27,4,0.477648
27,5,0.461244
27,6,0.465307
27,7,0.463428
27,8,0.444352
27,9,0.491798
27,10,0.484628
27,11,0.459058
27,12,0.252061
27,13,0.501873
27,14,0.526324
27,15,0.521954
28,1,0.452414
28,2,0.434589
28,3,0.549674
28,4,0.535135
28,5,0.515707
28,6,0.553196
28,7,0.482941
28,8,0.000000
28,9,0.467052
28,10,0.467843
28,11,0.477006
28,12,0.499741
28,13,0.496262
28,14,0.460721
28,15,0.526170
29,1,0.502635
29,2,0.454104
29,3,0.544783
29,4,0.575772
29,5,0.552379
29,6,0.512167
29,7,0.533704
29,8,0.466099
29,9,0.301284
29,10,0.540239
29,11,0.489863
29,12,0.467425
29,13,0.538075
29,14,0.531294
29,15,0.445858
30,1,0.485419
30,2,0.515668
30,3,0.552962
30,4,0.537204
30,5,0.536561
30,6,0.537742
30,7,0.512959
30,8,0.495181
30,9,0.533083
30,10,0.532559
30,11,0.533030
30,12,0.549866
30,13,0.514624
30,14,0.434589
30,15,0.396328
31,1,0.358762
31,2,0.463451
31,3,0.547988
31,4,0.497720
31,5,0.537488
31,6,0.547988
31,7,0.534946
31,8,0.520477
31,9,0.507246
31,10,0.535135
31,11,0.456565
31,12,0.452010
31,13,0.536762
31,14,0.469324
31,15,0.500834
32,1,0.471890
32,2,0.535522
32,3,0.535135
32,4,0.241763
32,5,0.515668
32,6,0.485704
32,7,0.333062
32,8,0.437995
32,9,0.461771
32,10,0.533140
32,11,0.490357
32,12,0.535004
32,13,0.543249
32,14,0.553196
32,15,0.507051
33,1,0.510703
33,2,0.380913
33,3,0.520477
33,4,0.544118
33,5,0.466299
33,6,0.499942
33,7,0.508110
33,8,0.459882
33,9,0.486415
33,10,0.339037
33,11,0.446129
33,12,0.453061
33,13,0.446448
33,14,0.516493
33,15,0.478941
34,1,0.457081
34,2,0.499699
34,3,0.467425
34,4,0.463548
34,5,0.525622
34,6,0.543663
34,7,0.479057
34,8,0.441839
34,9,0.464208
34,10,0.504729
34,11,0.446734
34,12,0.484199
34,13,0.464798
34,14,0.493405
34,15,0.517945
35,1,0.517833
35,2,0.536927
35,3,0.505027
35,4,0.457129
35,5,0.217294
35,6,0.465819
35,7,0.452300
35,8,0.453998
35,9,0.485873
35,10,0.522582
35,11,0.221788
35,12,0.466928
35,13,0.505199
35,14,0.501181
35,15,0.499364
36,1,0.529648
36,2,0.435590
36,3,0.456179
36,4,0.494330
36,5,0.508124
36,6,0.453538
36,7,0.441820
36,8,0.532282
36,9,0.528681
36,10,0.474964
36,11,0.279891
36,12,0.506369
36,13,0.462561
36,14,0.454158
36,15,0.370369
37,1,0.459056
37,2,0.474538
37,3,0.483342
37,4,0.531748
37,5,0.426354
37,6,0.396328
37,7,0.502064
37,8,0.534826
37,9,0.539334
37,10,0.511180
37,11,0.553196
37,12,0.538390
37,13,0.523915
37,14,0.520477
37,15,0.536094
38,1,0.217294
38,2,0.453644
38,3,0.471396
38,4,0.479948
38,5,0.455982
38,6,0.445423
38,7,0.484803
38,8,0.540068
38,9,0.495783
38,10,0.537488
38,11,0.450901
38,12,0.501264
38,13,0.477725
38,14,0.447917
38,15,0.497711
39,1,0.432176
39,2,0.540239
39,3,0.510703
39,4,0.526538
39,5,0.504924
39,6,0.461161
39,7,0.481930
39,8,0.510506
39,9,0.461244
39,10,0.459268
39,11,0.478025
39,12,0.512644
39,13,0.443449
39,14,0.456571
39,15,0.474072
40,1,0.511180
40,2,0.533230
40,3,0.533032
40,4,0.493637
40,5,0.494729
40,6,0.457081
40,7,0.506369
40,8,0.533703
40,9,0.494256
40,10,0.535220
40,11,0.461636
40,12,0.481201
40,13,0.441839
40,14,0.468613
40,15,0.509205
41,1,0.509454
41,2,0.426354
41,3,0.480115
41,4,0.498519
41,5,0.457049
41,6,0.435028
41,7,0.435135
41,8,0.434856
41,9,0.459168
41,10,0.501594
41,11,0.482273
41,12,0.515364
41,13,0.469021
41,14,0.453834
41,15,0.523880
42,1,0.562011
42,2,0.536226
42,3,0.457090
42,4,0.506369
42,5,0.217294
42,6,0.487234
42,7,0.428881
42,8,0.486612
42,9,0.531429
42,10,0.547900
42,11,0.498659
42,12,0.531474
42,13,0.582009
42,14,0.504123
42,15,0.217294
43,1,0.456054
43,2,0.481000
43,3,0.464786
43,4,0.475699
43,5,0.513042
43,6,0.471671
43,7,0.499515
43,8,0.553251
43,9,0.520813
43,10,0.465304
43,11,0.487234
43,12,0.499514
43,13,0.467471
43,14,0.434589
43,15,0.488028
44,1,0.452844
44,2,0.522955
44,3,0.539566
44,4,0.524841
44,5,0.529871
44,6,0.497922
44,7,0.547988
44,8,0.508441
44,9,0.510903
44,10,0.380913
44,11,0.535170
44,12,0.521155
44,13,0.529404
44,14,0.508421
44,15,0.522167
45,1,0.442137
45,2,0.574110
45,3,0.494256
45,4,0.475782
45,5,0.458100
45,6,0.459244
45,7,0.202543
45,8,0.485829
45,9,0.467940
45,10,0.506085
45,11,0.481535
45,12,0.574110
45,13,0.471671
45,14,0.446645
45,15,0.447825
46,1,0.539966
46,2,0.525987
46,3,0.512655
46,4,0.469670
46,5,0.476909
46,6,0.470948
46,7,0.481996
46,8,0.547988
46,9,0.502549
46,10,0.548126
46,11,0.456706
46,12,0.480839
46,13,0.522955
46,14,0.434589
46,15,0.540239
47,1,0.549866
47,2,0.513335
47,3,0.458749
47,4,0.446645
47,5,0.506369
47,6,0.426354
47,7,0.464166
47,8,0.547988
47,9,0.452359
47,10,0.444884
47,11,0.471809
47,12,0.497922
47,13,0.489417
47,14,0.550113
47,15,0.530856
48,1,0.576623
48,2,0.558273
48,3,0.500261
48,4,0.474646
48,5,0.453805
48,6,0.543019
48,7,0.559623
48,8,0.493637
48,9,0.549676
48,10,0.475810
48,11,0.506974
48,12,0.494321
48,13,0.523915
48,14,0.459558
48,15,0.566955
49,1,0.554919
49,2,0.531294
49,3,0.547988
49,4,0.480650
49,5,0.555926
49,6,0.454336
49,7,0.496316
49,8,0.525963
49,9,0.492966
49,10,0.547988
49,11,0.515425
49,12,0.514459
49,13,0.476432
49,14,0.542769
49,15,0.543076
50,1,0.543757
50,2,0.537878
50,3,0.532421
50,4,0.512896
50,5,0.523217
50,6,0.514856
50,7,0.454336
50,8,0.453469
50,9,0.460779
50,10,0.508885
50,11,0.471760
50,12,0.554567
50,13,0.520116
50,14,0.496404
50,15,0.535135
51,1,0.453210
51,2,0.490742
51,3,0.518965
51,4,0.480062
51,5,0.542145
51,6,0.562011
51,7,0.467425
51,8,0.517749
51,9,0.512767
51,10,0.458621
51,11,0.482266
51,12,0.509945
51,13,0.493637
51,14,0.533536
51,15,0.457081
52,1,0.499727
52,2,0.484233
52,3,0.512943
52,4,0.466738
52,5,0.434589
52,6,0.460517
52,7,0.501691
52,8,0.502083
52,9,0.509504
52,10,0.533639
52,11,0.521337
52,12,0.536393
52,13,0.455120
52,14,0.454211
52,15,0.468428
53,1,0.493297
53,2,0.574110
53,3,0.464078
53,4,0.514275
53,5,0.502064
53,6,0.217294
53,7,0.478530
53,8,0.513767
53,9,0.446782
53,10,0.467425
53,11,0.452355
53,12,0.467830
53,13,0.452414
53,14,0.497469
53,15,0.533704
54,1,0.515326
54,2,0.446359
54,3,0.489152
54,4,0.483763
54,5,0.515591
54,6,0.477211
54,7,0.513112
54,8,0.547988
54,9,0.464457
54,10,0.431107
54,11,0.504977
54,12,0.540239
54,13,0.503231
54,14,0.469088
54,15,0.443163
55,1,0.313442
55,2,0.469892
55,3,0.522067
55,4,0.476214
55,5,0.493604
55,6,0.442137
55,7,0.576623
55,8,0.525110
55,9,0.438714
55,10,0.498964
55,11,0.507252
55,12,0.574110
55,13,0.508753
55,14,0.490059
55,15,0.435590
56,1,0.254376
56,2,0.471971
56,3,0.479897
56,4,0.490739
56,5,0.574110
56,6,0.342424
56,7,0.501076
56,8,0.531964
56,9,0.529404
56,10,0.464451
56,11,0.435590
56,12,0.520703
56,13,0.542640
56,14,0.493637
56,15,0.574110
57,1,0.473018
57,2,0.434589
57,3,0.411744
57,4,0.579136
57,5,0.441839
57,6,0.473422
57,7,0.547172
57,8,0.525746
57,9,0.487673
57,10,0.547988
57,11,0.523915
57,12,0.443065
57,13,0.582009
57,14,0.434589
57,15,0.449476
58,1,0.443143
58,2,0.485386
58,3,0.315997
58,4,0.520973
58,5,0.458650
58,6,0.411744
58,7,0.455832
58,8,0.463126
58,9,0.488926
58,10,0.515166
58,11,0.524523
58,12,0.457786
58,13,0.506369
58,14,0.479455
58,15,0.493637
59,1,0.450010
59,2,0.455095
59,3,0.574110
59,4,0.477984
59,5,0.501399
59,6,0.566955
59,7,0.435089
59,8,0.202543
59,9,0.434738
59,10,0.508753
59,11,0.547988
59,12,0.495545
59,13,0.470513
59,14,0.436313
59,15,0.458948
60,1,0.547988
60,2,0.468392
60,3,0.468698
60,4,0.447314
60,5,0.467397
60,6,0.517652
60,7,0.480062
60,8,0.547988
60,9,0.532282
60,10,0.476884
60,11,0.491357
60,12,0.527474
60,13,0.505886
60,14,0.475048
60,15,0.579136
61,1,0.467794
61,2,0.493604
61,3,0.506980
61,4,0.497309
61,5,0.541280
61,6,0.523962
