request_id,request_type,access_rate
0,d,0.800000
1,d,0.400000
2,p,0.600000
3,p,0.400000
4,p,1.000000
5,p,0.400000
6,p,0.200000
7,s,0.200000
8,d,0.400000
9,s,0.600000
10,d,0.400000
11,p,0.600000
12,d,0.400000
13,s,0.600000
14,p,0.600000
15,d,0.800000
16,p,0.400000
17,p,0.600000
18,d,0.400000
19,s,0.800000
20,d,0.800000
21,p,0.400000
22,d,0.800000
23,s,0.800000
24,d,0.400000
25,p,0.600000
26,p,0.400000
27,d,0.400000
28,d,0.400000
29,d,0.400000
30,s,0.400000
31,p,1.000000
32,p,0.600000
33,d,0.600000
34,d,0.600000
35,p,0.600000
36,d,0.600000
37,s,0.200000
38,s,0.800000
39,p,0.400000
40,p,0.800000
41,s,0.400000
42,s,0.600000
43,s,0.200000
44,s,0.400000
45,d,0.400000
46,d,0.600000
47,s,0.600000
48,p,0.800000
49,d,0.600000
50,d,0.800000
51,d,0.200000
52,p,0.200000
53,d,0.800000
54,p,0.200000
55,d,0.600000
56,d,0.400000
57,p,0.200000
58,s,0.800000
59,d,0.600000
60,p,0.400000
61,s,0.400000
62,p,0.400000
63,p,0.400000
64,s,1.000000
65,s,0.600000
66,d,0.200000
67,s,0.800000
68,p,0.600000
69,d,0.400000
70,d,0.600000
71,s,0.400000
72,p,0.400000
73,s,0.200000
74,s,0.800000
75,d,0.600000
76,s,0.600000
77,s,0.600000
78,s,0.200000
79,s,1.000000
80,s,0.600000
81,d,0.400000
82,s,0.200000
83,d,0.600000
84,d,0.600000
85,d,0.200000
86,d,0.400000
87,d,0.400000
88,p,0.400000
89,d,0.800000
90,p,0.400000
91,d,0.600000
92,p,0.600000
93,p,0.600000
94,d,0.600000
95,d,0.400000
96,s,0.200000
97,d,0.400000
98,d,0.200000
99,p,0.600000
100,s,0.600000
101,s,0.200000
102,s,0.600000
103,p,0.600000
104,p,0.200000
105,p,0.400000
106,d,0.800000
107,d,0.600000
108,p,0.600000
109,p,0.800000
110,d,0.600000
111,s,0.200000
112,s,0.400000
113,p,0.600000
114,d,1.000000
115,p,0.600000
116,s,0.400000
117,s,0.400000
118,p,0.600000
119,d,0.800000
120,p,0.800000
121,p,0.400000
122,s,0.200000
123,s,0.200000
124,s,0.800000
125,d,0.600000
126,p,0.400000
127,s,0.600000
128,p,0.600000
129,p,0.200000
130,s,0.600000
131,d,0.600000
132,p,0.600000
133,s,0.800000
134,d,0.600000
135,s,0.600000
136,d,0.600000
137,p,0.800000
138,d,0.200000
139,d,0.600000
140,p,0.600000
141,s,1.000000
142,p,0.800000
143,s,0.600000
144,s,0.400000
145,d,0.600000
146,s,0.600000
147,s,0.600000
148,p,0.400000
149,p,0.400000
150,d,0.800000
151,s,0.400000
152,s,0.600000
153,d,0.800000
154,p,0.200000
155,s,0.600000
156,s,0.600000
157,p,0.800000
158,s,0.200000
159,p,0.800000
160,d,0.200000
161,s,0.600000
162,d,0.400000
163,p,0.800000
164,s,0.600000
165,s,0.800000
166,p,0.200000
167,s,0.400000
168,s,0.400000
169,p,0.600000
170,d,0.400000
171,s,0.600000
172,s,0.800000
173,p,0.400000
174,p,0.600000
175,s,0.800000
176,p,0.600000
177,p,0.600000
178,d,0.400000
179,s,0.400000
180,d,0.800000
181,s,0.600000
182,s,0.600000
183,s,0.800000
184,p,0.600000
185,d,0.600000
186,s,0.600000
187,p,0.600000
188,p,0.800000
189,d,0.400000
190,d,0.600000
191,d,0.600000
192,d,0.600000
193,p,0.400000
194,d,0.800000
195,d,0.600000
196,s,0.800000
197,d,0.400000
198,p,0.400000
199,p,0.400000
200,d,0.600000
201,p,0.400000
202,s,0.200000
203,p,0.400000
204,d,0.400000
205,d,0.400000
206,d,0.200000
207,p,0.400000
208,s,0.400000
209,s,0.600000
210,s,0.600000
211,s,0.200000
212,d,0.200000
213,d,0.400000
214,p,0.200000
215,s,0.200000
216,p,1.000000
217,p,0.600000
218,s,0.600000
219,d,0.400000
220,s,0.800000
221,s,0.200000
222,s,0.800000
223,s,0.400000
224,p,0.800000
225,p,0.600000
226,d,0.400000
227,s,0.800000
228,s,0.600000
229,s,0.600000
230,d,0.200000
231,p,0.400000
232,s,0.400000
233,p,0.600000
234,d,0.400000
235,d,0.200000
236,p,0.400000
237,d,0.600000
238,d,0.400000
239,d,0.600000
240,p,0.600000
241,d,0.400000
242,p,0.600000
243,s,0.800000
244,s,0.600000
245,d,0.400000
246,p,0.600000
247,d,0.600000
248,d,0.600000
249,s,0.400000
250,d,0.600000
251,d,0.200000
252,d,0.200000
253,p,0.600000
254,p,0.400000
255,p,0.400000
256,d,0.400000
257,p,0.600000
258,s,0.400000
259,p,0.400000
260,d,0.400000
261,s,0.600000
262,s,0.400000
263,s,0.200000
264,s,0.600000
265,d,0.400000
266,p,0.200000
267,d,0.600000
268,d,0.400000
269,p,0.400000
270,s,0.400000
271,d,0.400000
272,d,0.600000
273,p,0.800000
274,d,0.400000
275,s,0.400000
276,d,0.400000
277,s,0.200000
278,p,1.000000
279,s,0.400000
280,s,0.400000
281,s,0.400000
282,s,0.600000
283,p,0.400000
284,s,0.800000
285,d,0.600000
286,s,0.600000
287,d,0.400000
288,d,0.400000
289,p,0.200000
290,s,0.800000
291,p,0.400000
292,p,0.600000
293,p,0.200000
294,p,1.000000
295,d,0.600000
296,p,0.200000
297,s,0.800000
298,d,1.000000
299,s,0.600000
300,d,0.800000
301,p,0.400000
302,p,1.000000
303,p,0.400000
304,d,0.400000
305,d,0.200000
306,s,0.800000
307,s,0.600000
308,d,0.600000
309,s,0.600000
310,p,0.600000
311,s,0.600000
312,d,1.000000
313,d,0.400000
314,d,0.800000
315,p,0.400000
316,p,0.800000
317,s,0.600000
318,p,0.400000
319,d,0.400000
320,s,1.000000
321,p,0.400000
322,s,0.600000
323,d,0.400000
324,p,0.400000
325,p,0.200000
326,p,0.600000
327,d,0.400000
328,d,0.600000
329,s,0.600000
330,p,0.400000
331,s,0.800000
332,d,0.400000
333,d,0.200000
334,d,0.600000
335,p,0.800000
336,d,0.800000
337,s,0.600000
338,d,0.400000
339,d,0.400000
340,p,0.400000
341,d,0.600000
342,p,0.200000
343,d,0.400000
344,s,0.600000
345,p,0.600000
346,d,0.800000
347,p,0.600000
348,d,0.400000
349,p,0.600000
350,d,0.400000
351,p,0.800000
352,s,0.200000
353,s,0.800000
354,p,0.400000
355,p,0.600000
356,p,0.400000
357,p,0.200000
358,s,0.600000
359,s,0.400000
360,p,0.200000
361,p,0.200000
362,p,0.400000
363,d,0.600000
364,p,0.400000
365,d,0.200000
366,d,0.400000
367,s,0.600000
368,s,0.400000
369,p,0.800000
370,p,0.400000
371,p,0.600000
372,d,0.400000
373,d,0.600000
374,s,0.800000
375,p,0.600000
376,s,1.000000
377,p,0.400000
378,s,0.600000
379,s,0.400000
380,d,0.200000
381,s,0.400000
382,p,0.600000
383,d,0.400000
384,p,0.200000
385,s,0.200000
386,p,0.400000
387,p,0.400000
388,p,0.800000
389,p,0.600000
390,s,1.000000
391,p,0.800000
392,p,0.400000
393,s,0.800000
394,d,0.400000
395,d,0.200000
396,p,0.600000
397,s,0.400000
398,p,0.600000
399,p,0.400000
400,d,0.600000
401,s,0.600000
402,d,0.600000
403,s,0.200000
404,s,0.400000
405,p,0.800000
406,d,0.600000
407,s,0.600000
408,p,0.200000
409,d,0.200000
410,d,0.600000
411,p,0.600000
412,d,0.400000
413,p,0.200000
414,d,0.400000
415,p,0.400000
416,p,0.600000
417,d,0.600000
418,d,0.600000
419,p,0.400000
420,d,0.200000
421,d,0.600000
422,s,0.600000
423,d,0.400000
424,d,0.400000
425,d,0.600000
426,p,0.800000
427,p,0.600000
428,d,0.400000
429,s,0.600000
430,s,0.200000
431,s,0.600000
432,d,0.800000
433,s,0.600000
434,d,0.400000
435,d,0.400000
436,p,0.400000
437,p,0.800000
438,p,0.400000
439,p,0.600000
440,s,1.000000
441,p,0.600000
442,d,0.400000
443,p,0.400000
444,d,0.800000
445,p,0.200000
446,d,0.600000
447,p,0.400000
448,d,0.400000
449,d,0.600000
450,d,0.600000
451,s,0.600000
452,d,0.800000
453,s,0.400000
454,s,1.000000
455,d,0.400000
456,s,0.600000
457,s,0.200000
458,s,0.400000
459,d,0.200000
460,d,0.400000
461,p,0.600000
462,p,0.600000
463,p,0.600000
464,s,0.600000
465,d,0.400000
466,s,0.600000
467,p,0.200000
468,p,1.000000
469,p,1.000000
470,d,0.600000
471,p,0.600000
472,p,0.800000
473,p,0.800000
474,s,0.200000
475,p,0.200000
476,d,0.200000
477,d,0.400000
478,s,0.600000
479,d,0.600000
480,d,0.600000
481,s,0.400000
482,s,0.400000
483,p,0.600000
484,s,0.400000
485,s,0.800000
486,d,0.600000
487,d,0.400000
488,d,0.800000
489,s,0.400000
490,d,0.400000
491,s,0.800000
492,d,0.400000
493,p,0.400000
494,d,0.800000
495,s,0.400000
496,d,0.600000
497,d,0.200000
498,p,0.400000
499,s,0.600000
500,d,0.600000
501,d,0.600000
502,p,0.600000
503,s,0.200000
504,s,0.600000
505,s,0.400000
506,s,0.400000
507,d,0.400000
508,s,0.400000
509,d,0.200000
510,s,0.600000
511,d,0.600000
512,p,0.400000
513,p,0.200000
514,p,0.400000
515,d,0.400000
516,s,0.400000
517,d,0.400000
518,d,0.200000
519,p,0.400000
520,p,0.200000
521,p,0.800000
522,s,0.200000
523,s,0.400000
524,p,0.400000
525,p,0.600000
526,p,0.600000
527,p,0.400000
528,s,0.200000
529,s,0.400000
530,s,0.800000
531,d,0.800000
532,d,0.400000
533,s,0.800000
534,p,1.000000
535,s,0.600000
536,d,0.400000
537,p,0.400000
538,p,0.600000
539,s,0.600000
540,p,0.200000
541,d,0.800000
542,d,0.600000
543,d,0.400000
544,d,0.600000
545,p,0.600000
546,s,0.600000
547,d,0.400000
548,p,0.600000
549,s,1.000000
550,p,0.800000
551,d,0.200000
552,d,0.600000
553,p,0.400000
554,p,0.800000
555,p,0.600000
556,s,1.000000
557,s,0.800000
558,p,0.400000
559,d,0.200000
560,s,0.600000
561,p,0.600000
562,s,0.600000
563,s,0.600000
564,s,0.400000
565,p,0.400000
566,s,0.200000
567,d,0.400000
568,p,0.600000
569,s,0.400000
570,s,0.200000
571,d,0.400000
572,p,0.600000
573,p,0.600000
574,p,0.400000
575,p,0.400000
576,s,0.800000
577,s,0.600000
578,d,0.200000
579,s,0.800000
580,p,0.600000
581,s,0.600000
582,d,0.800000
583,s,0.600000
584,s,0.600000
585,p,0.600000
586,d,0.400000
587,d,0.600000
588,s,0.600000
589,s,0.600000
590,d,0.200000
591,p,0.400000
592,s,0.200000
593,s,0.200000
594,p,0.400000
595,s,0.800000
596,d,0.400000
597,p,0.800000
598,d,0.400000
599,d,0.600000
600,p,0.800000
601,p,0.400000
602,d,0.600000
603,s,0.400000
604,p,0.800000
605,d,0.400000
606,s,0.800000
607,p,0.400000
608,s,0.200000
609,s,0.400000
610,s,0.600000
611,s,0.600000
612,s,0.400000
613,d,0.600000
614,s,0.600000
615,d,0.200000
616,p,0.400000
617,p,0.400000
618,p,0.400000
619,s,0.800000
620,s,0.200000
621,p,0.400000
622,s,0.600000
623,d,0.400000
624,d,0.200000
625,p,0.200000
626,s,0.200000
627,s,0.400000
628,d,0.200000
629,p,0.200000
630,d,0.600000
631,p,0.600000
632,p,0.800000
633,p,0.400000
634,p,0.600000
635,p,0.600000
636,d,0.600000
637,d,1.000000
638,d,0.600000
639,d,1.000000
640,p,0.600000
641,d,0.400000
642,p,0.600000
643,p,0.400000
644,p,0.800000
645,p,0.400000
646,p,0.800000
647,d,0.600000
648,p,0.200000
649,p,0.600000
650,d,0.800000
651,p,0.600000
652,d,0.400000
653,d,0.400000
654,d,0.600000
655,s,0.400000
656,p,0.400000
657,s,0.200000
658,d,0.800000
659,d,0.400000
660,p,0.600000
661,p,0.600000
662,d,0.600000
663,d,0.200000
664,s,0.600000
665,s,0.600000
666,s,0.800000
667,s,1.000000
668,d,0.400000
669,s,0.400000
670,d,0.400000
671,d,0.800000
672,p,0.200000
673,s,0.600000
674,p,0.800000
675,p,0.200000
676,p,0.600000
677,d,0.400000
678,d,0.600000
679,d,0.600000
680,d,0.200000
681,d,0.800000
682,p,0.600000
683,d,0.400000
684,p,0.600000
685,p,0.400000
686,d,0.400000
687,d,0.600000
688,p,0.400000
689,d,0.600000
690,s,0.400000
691,d,0.400000
692,p,0.400000
693,d,0.400000
694,s,0.200000
695,s,0.800000
696,s,0.400000
697,p,0.600000
698,d,0.600000
699,p,0.600000
700,p,0.200000
701,s,0.200000
702,p,0.400000
703,s,0.600000
704,s,0.600000
705,s,1.000000
706,s,0.600000
707,s,0.400000
708,d,0.200000
709,p,0.800000
710,s,0.800000
711,p,0.600000
712,d,0.400000
713,s,0.800000
714,s,0.400000
715,p,0.400000
716,s,0.800000
717,s,0.400000
718,p,0.400000
719,p,0.800000
720,d,0.600000
721,d,0.400000
722,s,0.600000
723,d,0.400000
724,s,0.800000
725,s,0.800000
726,p,0.600000
727,s,0.400000
728,p,0.600000
729,p,0.400000
730,s,0.400000
731,s,0.400000
732,s,0.600000
733,p,0.600000
734,d,0.600000
735,s,0.600000
736,p,0.400000
737,d,0.400000
738,p,0.800000
739,d,0.400000
740,s,0.400000
741,d,0.400000
742,p,0.400000
743,d,0.600000
744,p,0.600000
745,s,0.400000
746,p,1.000000
747,d,0.400000
748,s,0.600000
749,p,0.800000
750,s,0.400000
751,p,0.200000
752,s,0.400000
753,d,0.200000
754,s,0.400000
755,p,0.200000
756,p,0.400000
757,d,0.800000
758,d,0.400000
759,p,0.200000
760,p,0.800000
761,s,0.600000
762,p,0.400000
763,d,0.800000
764,s,0.600000
765,p,0.200000
766,d,0.800000
767,p,0.600000
768,p,0.800000
769,s,0.400000
770,p,0.400000
771,d,0.800000
772,s,0.400000
773,p,0.200000
774,s,0.600000
775,p,0.400000
776,s,0.800000
777,d,0.600000
778,d,0.600000
779,s,0.800000
780,s,0.400000
781,p,0.400000
782,d,0.600000
783,p,0.600000
784,d,0.400000
785,s,0.600000
786,s,0.600000
787,s,0.400000
788,s,0.600000
789,s,0.600000
790,s,0.400000
791,d,0.200000
792,p,0.400000
793,s,0.400000
794,s,0.400000
795,p,0.600000
796,d,0.600000
797,d,0.600000
798,p,0.200000
799,d,0.400000
800,s,0.400000
801,d,0.600000
802,s,0.200000
803,d,0.400000
804,s,0.400000
805,s,0.800000
806,p,0.400000
807,s,0.600000
808,p,0.800000
809,s,0.200000
810,d,0.200000
811,d,0.600000
812,s,0.800000
813,d,1.000000
814,d,0.200000
815,p,0.400000
816,s,0.400000
