episode,episodic_reward
0,4.006692
1,4.212844
2,3.964785
3,3.996962
4,4.172744
5,4.053584
6,4.013327
7,4.176838
8,4.280928
9,3.969565
10,4.032150
11,4.025601
12,3.844323
13,4.023097
14,3.768896
15,3.858869
16,3.967980
17,3.970583
18,4.152824
19,3.969080
20,4.031160
21,4.046357
22,3.915718
23,3.935394
24,4.058736
25,3.889889
26,4.026673
27,4.001626
28,3.831698
29,4.058141
30,3.931787
31,3.975119
32,3.913775
33,3.986716
34,3.974096
35,3.824849
36,3.952692
37,4.024348
38,3.968759
39,3.956144
40,3.928811
41,4.038736
42,4.021021
43,3.989580
44,3.993817
45,3.909136
46,3.960326
47,3.998354
48,3.991328
49,3.882394
50,3.941894
51,3.944202
52,3.889510
53,4.014814
54,4.079106
55,3.904194
56,3.914180
57,3.951070
58,3.804657
59,3.850714
60,3.986585
61,3.819875
62,4.049707
63,3.896495
64,3.753232
65,3.971259
66,4.047079
67,4.028331
68,3.897014
69,3.872081
70,4.073094
71,3.971510
72,4.022215
73,4.017168
74,3.882413
75,3.896134
76,3.959100
77,3.971257
78,3.874223
79,4.112339
80,4.029897
81,3.946514
82,4.016579
83,4.032835
84,3.895541
85,3.979508
86,3.831278
87,3.976854
88,3.760840
89,3.977946
90,3.864694
91,3.980385
92,4.019027
93,3.887747
94,3.980382
95,3.929903
96,4.042413
97,3.821782
98,3.953858
99,3.953779
100,3.932113
101,3.909701
102,3.900427
103,4.037092
104,3.990666
105,3.989020
106,4.004465
107,4.015441
108,3.888428
109,3.824280
110,3.860138
111,3.975608
112,3.967225
113,4.084305
114,3.935491
115,4.129332
116,3.969938
117,4.069194
118,4.068988
119,3.880245
120,4.036729
121,3.972817
122,3.826623
123,4.112107
124,3.935502
125,3.772529
126,3.955401
127,4.026276
128,3.860624
129,3.967517
130,3.992340
131,3.933275
132,3.898764
133,3.981711
134,3.963510
135,4.116182
136,3.985308
137,3.949910
138,4.013647
139,3.974409
140,3.993511
141,3.812022
142,3.993883
143,3.889811
144,3.955832
145,3.987472
146,3.850619
147,3.846307
148,4.115169
149,3.830723
150,3.885759
151,4.012875
152,4.069681
153,3.968030
154,3.855083
155,4.038398
156,3.939017
157,3.897655
158,3.950743
159,4.015070
160,3.970975
161,4.022438
162,3.909993
163,3.811575
164,3.829592
165,3.950508
166,3.934941
167,4.053783
168,4.022413
169,3.928618
170,3.954554
171,3.931675
172,3.933193
173,3.904284
174,3.921604
175,4.059908
176,4.067690
177,3.946185
178,4.006257
179,3.875527
180,3.880684
181,3.914973
182,3.933602
183,4.072784
184,3.898430
185,3.902360
186,4.004205
187,4.005119
188,4.046050
189,3.966985
190,3.930780
191,3.838456
192,4.007697
193,3.870103
194,4.008279
195,3.994587
