request_id,request_type,access_rate
0,p,0.400000
1,p,0.600000
2,s,0.600000
3,s,0.800000
4,s,0.800000
5,s,0.600000
6,s,0.200000
7,d,0.800000
8,d,1.000000
9,p,0.400000
10,d,0.400000
11,d,0.600000
12,s,0.400000
13,p,0.200000
14,d,0.400000
15,p,0.600000
16,d,0.400000
17,s,0.400000
18,p,0.200000
19,p,0.400000
20,p,0.800000
21,p,0.600000
22,p,0.600000
23,s,0.800000
24,p,0.600000
25,d,0.200000
26,s,0.400000
27,s,0.600000
28,s,0.600000
29,p,0.600000
30,p,0.600000
31,d,0.400000
32,s,0.400000
33,s,0.200000
34,s,0.800000
35,s,0.600000
36,p,0.400000
37,s,0.400000
38,s,0.600000
39,p,1.000000
40,d,0.400000
41,s,0.600000
42,s,0.400000
43,d,0.800000
44,p,0.800000
45,d,0.600000
46,d,0.400000
47,s,0.400000
48,d,0.800000
49,s,0.200000
50,s,0.400000
51,p,0.600000
52,d,0.200000
53,s,0.600000
54,p,0.800000
55,d,0.600000
56,s,0.400000
57,p,0.400000
58,s,0.600000
59,s,0.800000
60,p,0.200000
61,p,0.600000
62,s,0.600000
63,p,0.800000
64,d,0.600000
65,d,0.800000
66,p,0.400000
67,p,0.200000
68,s,0.600000
69,d,0.400000
70,d,0.400000
71,s,0.400000
72,s,0.200000
73,s,0.200000
74,s,0.800000
75,d,0.400000
76,d,0.600000
77,s,0.600000
78,p,0.600000
79,d,0.600000
80,d,0.800000
81,d,0.400000
82,s,0.400000
83,d,0.600000
84,d,0.600000
85,p,0.800000
86,d,0.200000
87,s,0.400000
88,s,0.400000
89,d,0.200000
90,s,0.600000
91,p,0.200000
92,s,0.400000
93,p,0.400000
94,s,0.200000
95,p,0.400000
96,p,0.200000
97,d,0.600000
98,s,0.200000
99,s,0.200000
100,p,0.400000
101,p,0.600000
102,d,0.600000
103,p,0.800000
104,s,0.800000
105,s,0.600000
106,d,0.400000
107,p,0.400000
108,d,0.400000
109,p,0.400000
110,p,0.400000
111,d,0.400000
112,p,0.600000
113,s,0.200000
