episode,step,reward
0,1,0.446717
0,2,0.549802
0,3,0.439972
0,4,0.449648
0,5,0.451904
0,6,0.460858
0,7,0.499727
0,8,0.477655
0,9,0.456828
0,10,0.441692
0,11,0.458576
0,12,0.500888
0,13,0.463163
0,14,0.495462
0,15,0.479866
1,1,0.519457
1,2,0.513670
1,3,0.445859
1,4,0.525749
1,5,0.510891
1,6,0.493111
1,7,0.490189
1,8,0.508212
1,9,0.445469
1,10,0.468966
1,11,0.576566
1,12,0.479854
1,13,0.474831
1,14,0.474682
1,15,0.485786
2,1,0.493887
2,2,0.415989
2,3,0.440956
2,4,0.434589
2,5,0.340413
2,6,0.466570
2,7,0.473602
2,8,0.485911
2,9,0.440156
2,10,0.472624
2,11,0.465166
2,12,0.470244
2,13,0.473137
2,14,0.479609
2,15,0.480479
3,1,0.502185
3,2,0.514113
3,3,0.447429
3,4,0.478464
3,5,0.450736
3,6,0.448712
3,7,0.442857
3,8,0.458529
3,9,0.469561
3,10,0.489973
3,11,0.493017
3,12,0.454633
3,13,0.461979
3,14,0.460944
3,15,0.468215
4,1,0.506369
4,2,0.478273
4,3,0.466759
4,4,0.482886
4,5,0.438238
4,6,0.467276
4,7,0.482583
4,8,0.535827
4,9,0.458998
4,10,0.502533
4,11,0.477413
4,12,0.444326
4,13,0.430476
4,14,0.453748
4,15,0.453251
5,1,0.477586
5,2,0.443207
5,3,0.464884
5,4,0.473577
5,5,0.454012
5,6,0.465491
5,7,0.549442
5,8,0.476925
5,9,0.477198
5,10,0.491775
5,11,0.501818
5,12,0.533703
5,13,0.439534
5,14,0.469555
5,15,0.411744
6,1,0.462945
6,2,0.426345
6,3,0.431663
6,4,0.488976
6,5,0.513402
6,6,0.505635
6,7,0.506369
6,8,0.493117
6,9,0.513402
6,10,0.434589
6,11,0.473361
6,12,0.482886
6,13,0.531855
6,14,0.500904
6,15,0.462494
7,1,0.462852
7,2,0.539934
7,3,0.473074
7,4,0.429038
7,5,0.438529
7,6,0.496529
7,7,0.462971
7,8,0.518810
7,9,0.502064
7,10,0.543649
7,11,0.475450
7,12,0.454369
7,13,0.450932
7,14,0.537504
7,15,0.515104
8,1,0.492899
8,2,0.533824
8,3,0.576567
8,4,0.477926
8,5,0.568667
8,6,0.482527
8,7,0.549014
8,8,0.458266
8,9,0.478385
8,10,0.494256
8,11,0.520477
8,12,0.488714
8,13,0.467425
8,14,0.397650
8,15,0.489005
9,1,0.473956
9,2,0.521122
9,3,0.471671
9,4,0.445859
9,5,0.457129
9,6,0.520477
9,7,0.508753
9,8,0.495545
9,9,0.545566
9,10,0.530507
9,11,0.471671
9,12,0.464451
9,13,0.446717
9,14,0.459310
9,15,0.547988
10,1,0.443065
10,2,0.493109
10,3,0.475183
10,4,0.529648
10,5,0.534946
10,6,0.574110
10,7,0.467064
10,8,0.520477
10,9,0.506026
10,10,0.489005
10,11,0.492131
10,12,0.489005
10,13,0.475183
10,14,0.510413
10,15,0.521767
11,1,0.548001
11,2,0.445859
11,3,0.534946
11,4,0.530507
11,5,0.456480
11,6,0.442102
11,7,0.466824
11,8,0.489181
11,9,0.495783
11,10,0.445859
11,11,0.574110
11,12,0.443065
11,13,0.488714
11,14,0.445859
11,15,0.504507
12,1,0.436940
12,2,0.492464
12,3,0.486746
12,4,0.521767
12,5,0.495545
12,6,0.519457
12,7,0.397650
12,8,0.467425
12,9,0.380913
12,10,0.515290
12,11,0.486746
12,12,0.466824
12,13,0.515290
12,14,0.529648
12,15,0.434589
13,1,0.534946
13,2,0.488714
13,3,0.531294
13,4,0.445859
13,5,0.529648
13,6,0.534946
13,7,0.380913
13,8,0.519457
13,9,0.506026
13,10,0.531294
13,11,0.492297
13,12,0.489181
13,13,0.574110
13,14,0.469548
13,15,0.463993
14,1,0.494256
14,2,0.457129
14,3,0.434589
14,4,0.489005
14,5,0.474816
14,6,0.457129
14,7,0.460637
14,8,0.434589
14,9,0.510413
14,10,0.467064
14,11,0.380913
14,12,0.489005
14,13,0.519457
14,14,0.481201
14,15,0.438229
15,1,0.380913
15,2,0.463993
15,3,0.529648
15,4,0.467425
15,5,0.445859
15,6,0.521767
15,7,0.495545
15,8,0.473956
15,9,0.471671
15,10,0.533120
15,11,0.466824
15,12,0.508753
15,13,0.456480
15,14,0.521122
15,15,0.485880
16,1,0.515290
16,2,0.520477
16,3,0.479353
16,4,0.512167
16,5,0.475183
16,6,0.574110
16,7,0.464451
16,8,0.504507
16,9,0.456642
16,10,0.438229
16,11,0.434589
16,12,0.489181
16,13,0.460637
16,14,0.531294
16,15,0.456480
17,1,0.471671
17,2,0.466824
17,3,0.489005
17,4,0.492464
17,5,0.521122
17,6,0.460637
17,7,0.473956
17,8,0.466824
17,9,0.521122
17,10,0.467425
17,11,0.521767
17,12,0.506026
17,13,0.574110
17,14,0.489005
17,15,0.474816
18,1,0.574110
18,2,0.508753
18,3,0.463993
18,4,0.520477
18,5,0.545566
18,6,0.479353
18,7,0.463993
18,8,0.534946
18,9,0.492966
18,10,0.492464
18,11,0.508587
18,12,0.460637
18,13,0.521767
18,14,0.547988
18,15,0.545566
19,1,0.459310
19,2,0.481201
19,3,0.492966
19,4,0.534946
19,5,0.434589
19,6,0.489005
19,7,0.464451
19,8,0.508753
19,9,0.512167
19,10,0.531294
19,11,0.458765
19,12,0.397650
19,13,0.545566
19,14,0.485880
19,15,0.456480
20,1,0.531294
20,2,0.466824
20,3,0.531294
20,4,0.443065
20,5,0.446717
20,6,0.530507
20,7,0.529648
20,8,0.481201
20,9,0.494256
20,10,0.500261
20,11,0.458765
20,12,0.471671
20,13,0.488714
20,14,0.508587
20,15,0.456480
21,1,0.478695
21,2,0.533120
21,3,0.533120
21,4,0.467064
21,5,0.467425
21,6,0.481201
21,7,0.521122
21,8,0.473956
21,9,0.574110
21,10,0.534946
21,11,0.492464
21,12,0.574110
21,13,0.534946
21,14,0.504507
21,15,0.397650
22,1,0.463993
22,2,0.486746
22,3,0.485880
22,4,0.481201
22,5,0.529648
22,6,0.485880
22,7,0.486746
22,8,0.456642
22,9,0.466824
22,10,0.548001
22,11,0.492131
22,12,0.464451
22,13,0.446717
22,14,0.493109
22,15,0.494256
23,1,0.479353
23,2,0.458765
23,3,0.489005
23,4,0.495545
23,5,0.488714
23,6,0.445859
23,7,0.485880
23,8,0.456642
23,9,0.493080
23,10,0.488479
23,11,0.434589
23,12,0.521122
23,13,0.494256
23,14,0.495783
23,15,0.489005
24,1,0.504507
24,2,0.574110
24,3,0.519457
24,4,0.485880
24,5,0.515290
24,6,0.508753
24,7,0.380913
24,8,0.488479
24,9,0.512167
24,10,0.489181
24,11,0.457129
24,12,0.456475
24,13,0.479353
24,14,0.456480
24,15,0.545566
25,1,0.485880
25,2,0.446717
25,3,0.474816
25,4,0.475183
25,5,0.488714
25,6,0.488479
25,7,0.547988
25,8,0.445859
25,9,0.434589
25,10,0.574110
25,11,0.500261
25,12,0.531294
25,13,0.521122
25,14,0.434589
25,15,0.459310
26,1,0.434589
26,2,0.488479
26,3,0.534946
26,4,0.529648
26,5,0.495783
26,6,0.519457
26,7,0.574110
26,8,0.545566
26,9,0.475183
26,10,0.456475
26,11,0.521767
26,12,0.464451
26,13,0.493080
26,14,0.529648
26,15,0.475183
27,1,0.520477
27,2,0.481201
27,3,0.500261
27,4,0.445859
27,5,0.547988
27,6,0.494256
27,7,0.519457
27,8,0.519457
27,9,0.445859
27,10,0.504507
27,11,0.521122
27,12,0.434589
27,13,0.446717
27,14,0.492131
27,15,0.467425
28,1,0.486746
28,2,0.443065
28,3,0.434589
28,4,0.474816
28,5,0.534946
28,6,0.493109
28,7,0.574110
28,8,0.482941
28,9,0.457129
28,10,0.533120
28,11,0.380913
28,12,0.547988
28,13,0.493080
28,14,0.475183
28,15,0.466824
29,1,0.500261
29,2,0.508587
29,3,0.508753
29,4,0.492131
29,5,0.521767
29,6,0.459310
29,7,0.489181
29,8,0.530507
29,9,0.495545
29,10,0.492464
29,11,0.459310
29,12,0.464451
29,13,0.467425
29,14,0.446717
29,15,0.471671
30,1,0.464451
30,2,0.492131
30,3,0.456480
30,4,0.485880
30,5,0.529648
30,6,0.459310
30,7,0.436940
30,8,0.508753
30,9,0.488714
30,10,0.534946
30,11,0.489005
30,12,0.475183
30,13,0.545566
30,14,0.492464
30,15,0.460637
31,1,0.460637
31,2,0.531294
31,3,0.492131
31,4,0.486746
31,5,0.531294
31,6,0.474816
31,7,0.500261
31,8,0.445859
31,9,0.474816
31,10,0.456480
31,11,0.533120
31,12,0.463993
31,13,0.463993
31,14,0.482941
31,15,0.489181
32,1,0.463993
32,2,0.456480
32,3,0.478695
32,4,0.506026
32,5,0.471671
32,6,0.485880
32,7,0.397650
32,8,0.520477
32,9,0.533120
32,10,0.495545
32,11,0.520477
32,12,0.531294
32,13,0.434589
32,14,0.473956
32,15,0.534946
33,1,0.459310
33,2,0.506026
33,3,0.485880
33,4,0.481201
33,5,0.515290
33,6,0.547988
33,7,0.456480
33,8,0.474816
33,9,0.521122
33,10,0.519457
33,11,0.545566
33,12,0.493080
33,13,0.434589
33,14,0.442102
33,15,0.443065
34,1,0.482941
34,2,0.474816
34,3,0.458765
34,4,0.485880
34,5,0.474816
34,6,0.521122
34,7,0.520477
34,8,0.519457
34,9,0.547988
34,10,0.463993
34,11,0.494256
34,12,0.521767
34,13,0.486746
34,14,0.481201
34,15,0.519457
35,1,0.438229
35,2,0.464451
35,3,0.438229
35,4,0.456480
35,5,0.545566
35,6,0.459310
35,7,0.508587
35,8,0.488479
35,9,0.434589
35,10,0.434589
35,11,0.521767
35,12,0.463993
35,13,0.492464
35,14,0.459310
35,15,0.456480
36,1,0.493109
36,2,0.466824
36,3,0.520477
36,4,0.482941
36,5,0.445859
36,6,0.467064
36,7,0.488479
36,8,0.434589
36,9,0.574110
36,10,0.397650
36,11,0.529648
36,12,0.456475
36,13,0.531294
36,14,0.574110
36,15,0.547988
37,1,0.485880
37,2,0.467425
37,3,0.512167
37,4,0.442102
37,5,0.521767
37,6,0.467064
37,7,0.521122
37,8,0.492131
37,9,0.492966
37,10,0.434589
37,11,0.475183
37,12,0.458765
37,13,0.547988
37,14,0.471671
37,15,0.467425
38,1,0.574110
38,2,0.506026
38,3,0.442102
38,4,0.469548
38,5,0.445859
38,6,0.485880
38,7,0.481201
38,8,0.473956
38,9,0.445859
38,10,0.521767
38,11,0.492966
38,12,0.508753
38,13,0.456480
38,14,0.481201
38,15,0.463993
39,1,0.506026
39,2,0.473956
39,3,0.434589
39,4,0.493109
39,5,0.442102
39,6,0.520477
39,7,0.457129
39,8,0.529648
39,9,0.464451
39,10,0.489181
39,11,0.457129
39,12,0.456480
39,13,0.574110
39,14,0.467425
39,15,0.481201
40,1,0.467425
40,2,0.482941
40,3,0.479353
40,4,0.489005
40,5,0.456480
40,6,0.534946
40,7,0.492464
40,8,0.456480
40,9,0.548001
40,10,0.463993
40,11,0.471671
40,12,0.473956
40,13,0.492966
40,14,0.438229
40,15,0.508587
41,1,0.493109
41,2,0.530507
41,3,0.489181
41,4,0.474816
41,5,0.531294
41,6,0.492131
41,7,0.520477
41,8,0.434589
41,9,0.574110
41,10,0.504507
41,11,0.459310
