request_id,request_type,computation_delay,propagation_delay,transmission_delay,queueing_delay,total_latency
0,s,0.023128,0.004250,0.018500,28.523682,45.878351
1,d,0.002386,0.071250,0.019200,38.523438,92.836326
2,ds,0.002343,0.005400,0.022000,47.595947,29.742696
3,ss,0.018821,0.008100,0.020000,55.594482,46.920769
4,pd,0.002977,0.053100,0.018500,71.108398,74.577001
5,p,0.003780,0.004950,0.022000,12.013916,30.729849
6,pp,0.002838,0.004350,0.021500,29.526611,28.688325
7,dpp,0.002515,0.009200,0.018500,39.296143,30.214774
8,pp,0.002838,0.063350,0.022000,55.272949,88.188325
9,pd,0.002977,0.005350,0.018500,71.837402,26.827001
10,pp,0.002838,0.004650,0.022000,11.510498,29.488325
11,sp,0.018754,0.011000,0.019200,22.265869,48.953690
12,dp,0.002465,0.005000,0.022000,31.145996,29.464527
13,sdp,0.018492,0.010450,0.021500,39.154053,50.441971
14,dsd,0.002613,0.037300,0.020000,46.778076,59.912824
15,ps,0.002840,0.008400,0.021500,12.517578,32.739786
16,sps,0.018360,0.007050,0.018500,23.520020,43.910251
17,dp,0.002465,0.017750,0.020000,31.520264,40.214527
18,ddp,0.002502,0.019100,0.021500,40.313721,43.101721
19,ps,0.002840,0.004450,0.021500,55.347900,28.789786
20,dps,0.002445,0.004750,0.022000,6.034912,29.195037
21,sdp,0.018492,0.006400,0.018500,14.030762,43.391971
22,dsd,0.002613,0.003800,0.018500,22.557129,24.912824
23,ddd,0.002493,0.017850,0.019200,30.073975,39.543138
24,dds,0.002685,0.005650,0.020000,38.078369,28.335303
25,dds,0.002685,0.005000,0.022000,7.004150,29.685303
26,ddd,0.002493,0.004350,0.019200,15.525879,26.043138
27,sddd,0.017932,0.005200,0.018500,23.531006,41.631734
28,dd,0.002426,0.046050,0.018500,31.533936,66.975904
29,ssd,0.018735,0.016750,0.019200,39.041504,54.684503
30,ds,0.002343,0.005850,0.020000,6.002197,28.192696
31,dds,0.002685,0.005150,0.021500,14.058838,29.335303
32,sdd,0.018511,0.024100,0.019200,23.051514,61.810933
33,pd,0.002977,0.005450,0.020000,37.015869,28.427001
34,pp,0.002838,0.003700,0.018500,55.058838,25.038325
35,pp,0.002838,0.005100,0.018500,11.516357,26.438325
36,pp,0.002838,0.004250,0.020000,29.514404,27.088325
37,sp,0.018754,0.004150,0.020000,40.044189,42.903690
38,ssp,0.018787,0.004750,0.021500,48.579590,45.037195
39,ssp,0.018787,0.009200,0.018500,56.576416,46.487195
40,ss,0.018821,0.024800,0.020000,5.016113,63.620769
41,pss,0.002833,0.005550,0.019200,20.021973,27.582709
42,pp,0.002838,0.008500,0.020000,37.994873,31.338325
43,pp,0.002838,0.012450,0.019200,54.988770,34.488325
44,dpp,0.002515,0.008000,0.018500,65.001465,29.014774
45,pd,0.002977,0.018650,0.018500,13.026611,40.127001
46,dd,0.002426,0.005350,0.022000,24.536377,29.775904
47,sd,0.018668,0.004550,0.021500,32.069824,44.717773
48,ssd,0.018735,0.005400,0.020000,40.078369,44.134503
49,ppp,0.002790,0.070700,0.022000,55.682373,95.489957
50,dss,0.002842,0.012150,0.022000,6.078125,36.991765
51,pss,0.002833,0.007850,0.019200,20.507080,29.882709
52,dp,0.002465,0.005900,0.019200,33.516357,27.564527
53,pd,0.002977,0.005450,0.020000,48.022705,28.427001
54,spd,0.018317,0.005200,0.019200,59.106934,42.717325
55,ssp,0.018787,0.005300,0.022000,5.000488,46.087195
56,psp,0.002926,0.033400,0.020000,21.005615,56.325658
57,sss,0.019288,0.009450,0.022000,32.004883,50.738093
58,pp,0.002838,0.007150,0.018500,47.961914,28.488325
59,ps,0.002840,0.006000,0.021500,64.486328,30.339786
60,dps,0.002445,0.003800,0.020000,7.008057,26.245037
61,dd,0.002426,0.006600,0.020000,15.512939,29.025904
62,sd,0.018668,0.004300,0.021500,24.028809,44.467773
63,ssd,0.018735,0.006350,0.022000,31.031250,47.084503
64,dss,0.002842,0.004500,0.021500,39.111084,28.841765
65,sd,0.018668,0.048600,0.021500,5.985596,88.767773
66,ds,0.002343,0.019750,0.021500,13.438232,43.592696
67,dds,0.002685,0.017600,0.019200,22.743408,39.485303
68,p,0.003780,0.004800,0.021500,37.820557,30.079849
69,dp,0.002465,0.006350,0.020000,48.336426,28.814527
70,pdp,0.002932,0.004850,0.022000,13.025146,29.781683
71,pp,0.002838,0.004250,0.020000,29.635498,27.088325
72,dpp,0.002515,0.005100,0.022000,41.227295,29.614774
73,ddp,0.002502,0.007350,0.022000,49.252930,31.851721
74,p,0.003780,0.027950,0.021500,64.341309,53.229849
