episode,step,reward
0,1,0.028049
0,2,0.114218
0,3,0.018392
0,4,0.064537
0,5,0.112148
0,6,0.047766
0,7,0.047157
0,8,0.081181
0,9,0.110402
0,10,0.091618
0,11,0.085786
0,12,0.072391
0,13,0.050256
0,14,0.069375
0,15,0.111602
1,1,0.022934
1,2,0.019729
1,3,0.089991
1,4,0.103616
1,5,0.029861
1,6,0.064646
1,7,0.076290
1,8,0.059278
1,9,0.102544
1,10,0.070508
1,11,0.062605
1,12,0.067488
1,13,0.041954
1,14,0.112203
1,15,0.075336
2,1,0.067273
2,2,0.024234
2,3,0.114793
2,4,0.091263
2,5,0.047131
2,6,0.069725
2,7,0.070808
2,8,0.069846
2,9,0.028776
2,10,0.072159
2,11,0.077116
2,12,0.066372
2,13,0.070630
2,14,0.052667
2,15,0.082205
3,1,0.090340
3,2,0.103218
3,3,0.043636
3,4,0.030607
3,5,0.113354
3,6,0.064907
3,7,0.064204
3,8,0.050520
3,9,0.071882
3,10,0.058915
3,11,0.066228
3,12,0.065688
3,13,0.072711
3,14,0.066790
3,15,0.082603
4,1,0.057305
4,2,0.092445
4,3,0.031721
4,4,0.033865
4,5,0.066959
4,6,0.114213
4,7,0.065151
4,8,0.031287
4,9,0.023661
4,10,0.091451
4,11,0.053447
4,12,0.068642
4,13,0.077429
4,14,0.090393
4,15,0.113168
